"Tabela 6579 - População residente estimada"
"Município","Ano","Variável"
"Município","Ano","População residente estimada (Pessoas)"
"Gurupi (TO)","2018","85737"
"Ipueiras (TO)","2018","1977"
"Itacajá (TO)","2018","7414"
"Itaguatins (TO)","2018","5896"
"Itapiratins (TO)","2018","3758"
"Itaporã do Tocantins (TO)","2018","2435"
"Jaú do Tocantins (TO)","2018","3819"
"Juarina (TO)","2018","2202"
"Lagoa da Confusão (TO)","2018","13034"
"Lagoa do Tocantins (TO)","2018","4237"
"Lajeado (TO)","2018","3101"
"Lavandeira (TO)","2018","1892"
"Lizarda (TO)","2018","3748"
"Luzinópolis (TO)","2018","3060"
"Marianópolis do Tocantins (TO)","2018","5094"
"Mateiros (TO)","2018","2638"
"Maurilândia do Tocantins (TO)","2018","3403"
"Miracema do Tocantins (TO)","2018","18566"
"Miranorte (TO)","2018","13375"
"Monte do Carmo (TO)","2018","7827"
"Monte Santo do Tocantins (TO)","2018","2263"
"Palmeiras do Tocantins (TO)","2018","6570"
"Muricilândia (TO)","2018","3514"
"Natividade (TO)","2018","9239"
"Nazaré (TO)","2018","3959"
"Nova Olinda (TO)","2018","11719"
"Nova Rosalândia (TO)","2018","4215"
"Novo Acordo (TO)","2018","4287"
"Novo Alegre (TO)","2018","2332"
"Novo Jardim (TO)","2018","2698"
"Oliveira de Fátima (TO)","2018","1106"
"Palmeirante (TO)","2018","5919"
"Palmeirópolis (TO)","2018","7641"
"Paraíso do Tocantins (TO)","2018","50602"
"Paranã (TO)","2018","10461"
"Pau D'Arco (TO)","2018","4831"
"Pedro Afonso (TO)","2018","13380"
"Peixe (TO)","2018","11623"
"Pequizeiro (TO)","2018","5443"
"Colméia (TO)","2018","8270"
"Pindorama do Tocantins (TO)","2018","4464"
"Piraquê (TO)","2018","3023"
"Pium (TO)","2018","7564"
"Ponte Alta do Bom Jesus (TO)","2018","4601"
"Ponte Alta do Tocantins (TO)","2018","7961"
"Porto Alegre do Tocantins (TO)","2018","3108"
"Porto Nacional (TO)","2018","52700"
