"Tabela 6579 - População residente estimada"
"Município","Ano","Variável"
"Município","Ano","População residente estimada (Pessoas)"
"São Francisco de Itabapoana (RJ)","2018","42201"
"São Fidélis (RJ)","2018","38626"
"São Gonçalo (RJ)","2018","1077687"
"São João da Barra (RJ)","2018","36138"
"São João de Meriti (RJ)","2018","471888"
"São José de Ubá (RJ)","2018","7134"
"São José do Vale do Rio Preto (RJ)","2018","21670"
"São Pedro da Aldeia (RJ)","2018","102846"
"São Sebastião do Alto (RJ)","2018","9326"
"Sapucaia (RJ)","2018","18205"
"Saquarema (RJ)","2018","87704"
"Seropédica (RJ)","2018","86743"
"Silva Jardim (RJ)","2018","21773"
"Sumidouro (RJ)","2018","15577"
"Tanguá (RJ)","2018","33870"
"Teresópolis (RJ)","2018","180886"
"Trajano de Moraes (RJ)","2018","10611"
"Três Rios (RJ)","2018","81453"
"Valença (RJ)","2018","76163"
"Varre-Sai (RJ)","2018","10890"
"Vassouras (RJ)","2018","36702"
"Volta Redonda (RJ)","2018","271998"
"Adamantina (SP)","2018","35023"
"Adolfo (SP)","2018","3571"
"Aguaí (SP)","2018","35954"
"Águas da Prata (SP)","2018","8137"
"Águas de Lindóia (SP)","2018","18599"
"Águas de Santa Bárbara (SP)","2018","6040"
"Águas de São Pedro (SP)","2018","3380"
"Agudos (SP)","2018","37023"
"Alambari (SP)","2018","5918"
"Alfredo Marcondes (SP)","2018","4147"
"Altair (SP)","2018","4134"
"Altinópolis (SP)","2018","16164"
"Alto Alegre (SP)","2018","4110"
"Alumínio (SP)","2018","18484"
"Álvares Florence (SP)","2018","3712"
"Álvares Machado (SP)","2018","24830"
"Álvaro de Carvalho (SP)","2018","5179"
"Alvinlândia (SP)","2018","3206"
"Americana (SP)","2018","237112"
"Américo Brasiliense (SP)","2018","39962"
"Américo de Campos (SP)","2018","5956"
"Amparo (SP)","2018","71700"
"Analândia (SP)","2018","4933"
"Andradina (SP)","2018","57112"
"Angatuba (SP)","2018","24969"
"Anhembi (SP)","2018","6627"
"Anhumas (SP)","2018","4085"
"Aparecida (SP)","2018","36129"
"Aparecida d'Oeste (SP)","2018","4234"
"Apiaí (SP)","2018","24526"
"Araçariguama (SP)","2018","21854"
"Araçatuba (SP)","2018","195874"
"Araçoiaba da Serra (SP)","2018","33499"
"Aramina (SP)","2018","5585"
"Arandu (SP)","2018","6348"
"Arapeí (SP)","2018","2478"
"Araraquara (SP)","2018","233744"
"Araras (SP)","2018","132934"
"Arco-Íris (SP)","2018","1811"
"Arealva (SP)","2018","8505"
"Areias (SP)","2018","3876"
"Areiópolis (SP)","2018","11099"
"Ariranha (SP)","2018","9573"
"Artur Nogueira (SP)","2018","53450"
"Arujá (SP)","2018","88455"
"Aspásia (SP)","2018","1825"
"Assis (SP)","2018","103666"
"Atibaia (SP)","2018","141398"
"Auriflama (SP)","2018","15123"
"Avaí (SP)","2018","5369"
"Avanhandava (SP)","2018","13433"
"Avaré (SP)","2018","90063"
"Bady Bassitt (SP)","2018","17236"
"Balbinos (SP)","2018","5532"
"Bálsamo (SP)","2018","8994"
"Bananal (SP)","2018","10896"
"Barão de Antonina (SP)","2018","3441"
"Barbosa (SP)","2018","7335"
"Bariri (SP)","2018","34961"
"Barra Bonita (SP)","2018","36127"
"Barra do Chapéu (SP)","2018","5688"
"Barra do Turvo (SP)","2018","7687"
"Barretos (SP)","2018","121344"
"Barrinha (SP)","2018","32434"
"Barueri (SP)","2018","271306"
"Bastos (SP)","2018","20954"
"Batatais (SP)","2018","62024"
"Bauru (SP)","2018","374272"
"Bebedouro (SP)","2018","77436"
"Bento de Abreu (SP)","2018","2955"
"Bernardino de Campos (SP)","2018","11137"
"Bertioga (SP)","2018","61736"
"Bilac (SP)","2018","7949"
"Birigui (SP)","2018","122359"
"Biritiba Mirim (SP)","2018","32251"
"Boa Esperança do Sul (SP)","2018","14824"
"Bocaina (SP)","2018","12204"
"Bofete (SP)","2018","11534"
"Boituva (SP)","2018","59793"
"Bom Jesus dos Perdões (SP)","2018","24898"
"Bom Sucesso de Itararé (SP)","2018","3923"
"Borá (SP)","2018","836"
"Boracéia (SP)","2018","4776"
"Borborema (SP)","2018","15925"
"Borebi (SP)","2018","2621"
"Botucatu (SP)","2018","144820"
"Bragança Paulista (SP)","2018","166753"
"Braúna (SP)","2018","5630"
"Brejo Alegre (SP)","2018","2841"
"Brodowski (SP)","2018","24592"
"Brotas (SP)","2018","24163"
"Buri (SP)","2018","19789"
"Buritama (SP)","2018","17003"
"Buritizal (SP)","2018","4447"
"Cabrália Paulista (SP)","2018","4286"
"Cabreúva (SP)","2018","48966"
"Caçapava (SP)","2018","93488"
"Cachoeira Paulista (SP)","2018","33067"
"Caconde (SP)","2018","18961"
"Cafelândia (SP)","2018","17689"
"Caiabu (SP)","2018","4190"
"Caieiras (SP)","2018","100129"
"Caiuá (SP)","2018","5800"
"Cajamar (SP)","2018","75638"
"Cajati (SP)","2018","28605"
"Cajobi (SP)","2018","10486"
"Cajuru (SP)","2018","25935"
"Campina do Monte Alegre (SP)","2018","5991"
"Campinas (SP)","2018","1194094"
"Campo Limpo Paulista (SP)","2018","83735"
"Campos do Jordão (SP)","2018","51763"
"Campos Novos Paulista (SP)","2018","4932"
"Cananéia (SP)","2018","12539"
"Canas (SP)","2018","5071"
"Cândido Mota (SP)","2018","31212"
"Cândido Rodrigues (SP)","2018","2787"
"Canitar (SP)","2018","5139"
"Capão Bonito (SP)","2018","47159"
"Capela do Alto (SP)","2018","20419"
"Capivari (SP)","2018","55141"
"Caraguatatuba (SP)","2018","119625"
"Carapicuíba (SP)","2018","398611"
"Cardoso (SP)","2018","12303"
"Casa Branca (SP)","2018","30237"
"Cássia dos Coqueiros (SP)","2018","2542"
"Castilho (SP)","2018","20738"
"Catanduva (SP)","2018","121210"
"Catiguá (SP)","2018","7752"
"Cedral (SP)","2018","9125"
"Cerqueira César (SP)","2018","19774"
"Cerquilho (SP)","2018","48074"
"Cesário Lange (SP)","2018","17915"
"Charqueada (SP)","2018","17009"
"Clementina (SP)","2018","8472"
"Colina (SP)","2018","18398"
"Colômbia (SP)","2018","6203"
"Conchal (SP)","2018","27820"
"Conchas (SP)","2018","17770"
"Cordeirópolis (SP)","2018","24221"
"Coroados (SP)","2018","5986"
"Coronel Macedo (SP)","2018","4728"
"Corumbataí (SP)","2018","4047"
"Cosmópolis (SP)","2018","70998"
"Cosmorama (SP)","2018","7316"
"Cotia (SP)","2018","244694"
"Cravinhos (SP)","2018","34998"
"Cristais Paulista (SP)","2018","8541"
"Cruzália (SP)","2018","2100"
"Cruzeiro (SP)","2018","81895"
"Cubatão (SP)","2018","129760"
"Cunha (SP)","2018","21639"
"Descalvado (SP)","2018","33520"
"Diadema (SP)","2018","420934"
"Dirce Reis (SP)","2018","1786"
"Divinolândia (SP)","2018","11208"
"Dobrada (SP)","2018","8846"
"Dois Córregos (SP)","2018","27112"
"Dolcinópolis (SP)","2018","2119"
"Dourado (SP)","2018","8868"
"Dracena (SP)","2018","46536"
"Duartina (SP)","2018","12457"
"Dumont (SP)","2018","9708"
"Echaporã (SP)","2018","6141"
"Eldorado (SP)","2018","15443"
"Elias Fausto (SP)","2018","17604"
"Elisiário (SP)","2018","3604"
"Embaúba (SP)","2018","2456"
"Embu das Artes (SP)","2018","270843"
"Embu-Guaçu (SP)","2018","68856"
"Emilianópolis (SP)","2018","3202"
"Engenheiro Coelho (SP)","2018","20284"
"Espírito Santo do Pinhal (SP)","2018","44186"
"Espírito Santo do Turvo (SP)","2018","4779"
"Estrela d'Oeste (SP)","2018","8418"
"Estrela do Norte (SP)","2018","2762"
"Euclides da Cunha Paulista (SP)","2018","9419"
"Fartura (SP)","2018","16001"
"Fernandópolis (SP)","2018","68823"
"Fernando Prestes (SP)","2018","5771"
"Fernão (SP)","2018","1704"
"Ferraz de Vasconcelos (SP)","2018","191993"
"Flora Rica (SP)","2018","1499"
"Floreal (SP)","2018","2934"
"Flórida Paulista (SP)","2018","14486"
"Florínea (SP)","2018","2699"
"Franca (SP)","2018","350400"
"Francisco Morato (SP)","2018","174008"
"Franco da Rocha (SP)","2018","152433"
"Gabriel Monteiro (SP)","2018","2776"
"Gália (SP)","2018","6615"
"Garça (SP)","2018","44370"
"Gastão Vidigal (SP)","2018","4754"
"Gavião Peixoto (SP)","2018","4762"
"General Salgado (SP)","2018","10876"
"Getulina (SP)","2018","11370"
"Glicério (SP)","2018","4801"
"Guaiçara (SP)","2018","12039"
"Guaimbê (SP)","2018","5743"
"Guaíra (SP)","2018","40533"
"Guapiaçu (SP)","2018","21125"
"Guapiara (SP)","2018","17293"
"Guará (SP)","2018","21129"
"Guaraçaí (SP)","2018","8357"
"Guaraci (SP)","2018","11088"
"Guarani d'Oeste (SP)","2018","2002"
"Guarantã (SP)","2018","6654"
"Guararapes (SP)","2018","32774"
"Guararema (SP)","2018","29451"
"Guaratinguetá (SP)","2018","121073"
"Guareí (SP)","2018","18143"
"Guariba (SP)","2018","39714"
"Guarujá (SP)","2018","318107"
"Guarulhos (SP)","2018","1365899"
"Guatapará (SP)","2018","7602"
"Guzolândia (SP)","2018","5226"
"Herculândia (SP)","2018","9462"
"Holambra (SP)","2018","14579"
"Hortolândia (SP)","2018","227353"
"Iacanga (SP)","2018","11559"
"Iacri (SP)","2018","6348"
"Iaras (SP)","2018","8956"
"Ibaté (SP)","2018","34726"
"Ibirá (SP)","2018","12264"
"Ibirarema (SP)","2018","7663"
"Ibitinga (SP)","2018","59451"
"Ibiúna (SP)","2018","78262"
"Icém (SP)","2018","8181"
"Iepê (SP)","2018","8124"
"Igaraçu do Tietê (SP)","2018","24598"
"Igarapava (SP)","2018","30246"
"Igaratá (SP)","2018","9483"
"Iguape (SP)","2018","30721"
"Ilhabela (SP)","2018","34333"
"Ilha Comprida (SP)","2018","10965"
"Ilha Solteira (SP)","2018","26582"
"Indaiatuba (SP)","2018","246908"
"Indiana (SP)","2018","4892"
"Indiaporã (SP)","2018","3908"
"Inúbia Paulista (SP)","2018","3963"
"Ipaussu (SP)","2018","14869"
"Iperó (SP)","2018","36280"
"Ipeúna (SP)","2018","7401"
"Ipiguá (SP)","2018","5306"
"Iporanga (SP)","2018","4238"
"Ipuã (SP)","2018","16209"
"Iracemápolis (SP)","2018","23846"
"Irapuã (SP)","2018","7937"
"Irapuru (SP)","2018","8261"
"Itaberá (SP)","2018","17635"
"Itaí (SP)","2018","26861"
"Itajobi (SP)","2018","15226"
"Itaju (SP)","2018","3782"
"Itanhaém (SP)","2018","100496"
"Itaoca (SP)","2018","3326"
"Itapecerica da Serra (SP)","2018","173672"
"Itapetininga (SP)","2018","162231"
"Itapeva (SP)","2018","93892"
"Itapevi (SP)","2018","234352"
"Itapira (SP)","2018","74299"
"Itapirapuã Paulista (SP)","2018","4213"
"Itápolis (SP)","2018","42903"
"Itaporanga (SP)","2018","15125"
"Itapuí (SP)","2018","13833"
"Itapura (SP)","2018","4860"
"Itaquaquecetuba (SP)","2018","366519"
"Itararé (SP)","2018","50360"
"Itariri (SP)","2018","17271"
"Itatiba (SP)","2018","119090"
"Itatinga (SP)","2018","20467"
"Itirapina (SP)","2018","17922"
"Itirapuã (SP)","2018","6453"
"Itobi (SP)","2018","7830"
"Itu (SP)","2018","172268"
"Itupeva (SP)","2018","59649"
"Ituverava (SP)","2018","41598"
"Jaborandi (SP)","2018","6911"
"Jaboticabal (SP)","2018","76864"
"Jacareí (SP)","2018","231863"
"Jaci (SP)","2018","6934"
"Jacupiranga (SP)","2018","17842"
"Jaguariúna (SP)","2018","56221"
"Jales (SP)","2018","49011"
"Jambeiro (SP)","2018","6485"
"Jandira (SP)","2018","123481"
"Jardinópolis (SP)","2018","43774"
"Jarinu (SP)","2018","29456"
"Jaú (SP)","2018","148581"
"Jeriquara (SP)","2018","3168"
"Joanópolis (SP)","2018","13098"
"João Ramalho (SP)","2018","4495"
"José Bonifácio (SP)","2018","36655"
"Júlio Mesquita (SP)","2018","4752"
"Jumirim (SP)","2018","3315"
"Jundiaí (SP)","2018","414810"
"Junqueirópolis (SP)","2018","20524"
"Juquiá (SP)","2018","18908"
"Juquitiba (SP)","2018","31235"
"Lagoinha (SP)","2018","4903"
"Laranjal Paulista (SP)","2018","28240"
"Lavínia (SP)","2018","11667"
"Lavrinhas (SP)","2018","7207"
"Leme (SP)","2018","102412"
"Lençóis Paulista (SP)","2018","67859"
"Limeira (SP)","2018","303682"
"Lindóia (SP)","2018","7864"
"Lins (SP)","2018","77510"
"Lorena (SP)","2018","88276"
"Lourdes (SP)","2018","2278"
"Louveira (SP)","2018","47748"
"Lucélia (SP)","2018","21604"
"Lucianópolis (SP)","2018","2385"
"Luís Antônio (SP)","2018","14592"
"Luiziânia (SP)","2018","5723"
"Lupércio (SP)","2018","4571"
"Lutécia (SP)","2018","2663"
"Macatuba (SP)","2018","17111"
"Macaubal (SP)","2018","8093"
"Macedônia (SP)","2018","3704"
"Magda (SP)","2018","3136"
"Mairinque (SP)","2018","46852"
"Mairiporã (SP)","2018","98374"
"Manduri (SP)","2018","9780"
"Marabá Paulista (SP)","2018","5757"
"Maracaí (SP)","2018","13967"
"Marapoama (SP)","2018","2996"
"Mariápolis (SP)","2018","4077"
"Marília (SP)","2018","237130"
"Marinópolis (SP)","2018","2117"
"Martinópolis (SP)","2018","26289"
"Matão (SP)","2018","82702"
"Mauá (SP)","2018","468148"
"Mendonça (SP)","2018","5413"
"Meridiano (SP)","2018","3848"
"Mesópolis (SP)","2018","1910"
"Miguelópolis (SP)","2018","22093"
"Mineiros do Tietê (SP)","2018","12849"
"Miracatu (SP)","2018","19919"
"Mira Estrela (SP)","2018","3066"
"Mirandópolis (SP)","2018","29418"
"Mirante do Paranapanema (SP)","2018","18178"
"Mirassol (SP)","2018","59333"
"Mirassolândia (SP)","2018","4822"
"Mococa (SP)","2018","68788"
"Mogi das Cruzes (SP)","2018","440769"
"Mogi Guaçu (SP)","2018","150713"
"Mogi Mirim (SP)","2018","92715"
"Mombuca (SP)","2018","3478"
"Monções (SP)","2018","2252"
"Mongaguá (SP)","2018","55731"
"Monte Alegre do Sul (SP)","2018","7964"
"Monte Alto (SP)","2018","50216"
"Monte Aprazível (SP)","2018","24794"
"Monte Azul Paulista (SP)","2018","19050"
"Monte Castelo (SP)","2018","4166"
"Monteiro Lobato (SP)","2018","4608"
"Monte Mor (SP)","2018","58765"
"Morro Agudo (SP)","2018","32641"
"Morungaba (SP)","2018","13458"
"Motuca (SP)","2018","4720"
"Murutinga do Sul (SP)","2018","4466"
"Nantes (SP)","2018","3103"
"Narandiba (SP)","2018","4809"
"Natividade da Serra (SP)","2018","6681"
"Nazaré Paulista (SP)","2018","18346"
"Neves Paulista (SP)","2018","8936"
"Nhandeara (SP)","2018","11427"
"Nipoã (SP)","2018","5126"
"Nova Aliança (SP)","2018","6875"
"Nova Campina (SP)","2018","9647"
"Nova Canaã Paulista (SP)","2018","1911"
"Nova Castilho (SP)","2018","1255"
"Nova Europa (SP)","2018","11013"
"Nova Granada (SP)","2018","21307"
"Nova Guataporanga (SP)","2018","2308"
"Nova Independência (SP)","2018","3883"
"Novais (SP)","2018","5712"
"Nova Luzitânia (SP)","2018","4041"
"Nova Odessa (SP)","2018","59371"
"Novo Horizonte (SP)","2018","40680"
"Nuporanga (SP)","2018","7386"
"Ocauçu (SP)","2018","4287"
"Óleo (SP)","2018","2522"
"Olímpia (SP)","2018","54406"
"Onda Verde (SP)","2018","4339"
"Oriente (SP)","2018","6487"
"Orindiúva (SP)","2018","6935"
"Orlândia (SP)","2018","43687"
"Osasco (SP)","2018","696850"
"Oscar Bressane (SP)","2018","2602"
"Osvaldo Cruz (SP)","2018","32754"
"Ourinhos (SP)","2018","112711"
"Ouroeste (SP)","2018","10177"
"Ouro Verde (SP)","2018","8503"
"Pacaembu (SP)","2018","14130"
"Palestina (SP)","2018","12786"
"Palmares Paulista (SP)","2018","13058"
"Palmeira d'Oeste (SP)","2018","9340"
"Palmital (SP)","2018","22168"
"Panorama (SP)","2018","15690"
"Paraguaçu Paulista (SP)","2018","45455"
"Paraibuna (SP)","2018","18180"
"Paraíso (SP)","2018","6411"
"Paranapanema (SP)","2018","19993"
"Paranapuã (SP)","2018","4061"
"Parapuã (SP)","2018","10980"
"Pardinho (SP)","2018","6360"
"Pariquera-Açu (SP)","2018","19570"
"Parisi (SP)","2018","2153"
"Patrocínio Paulista (SP)","2018","14529"
"Paulicéia (SP)","2018","7274"
"Paulínia (SP)","2018","106776"
"Paulistânia (SP)","2018","1832"
"Paulo de Faria (SP)","2018","8930"
"Pederneiras (SP)","2018","46251"
"Pedra Bela (SP)","2018","6075"
"Pedranópolis (SP)","2018","2508"
"Pedregulho (SP)","2018","16676"
"Pedreira (SP)","2018","47361"
"Pedrinhas Paulista (SP)","2018","3085"
"Pedro de Toledo (SP)","2018","11240"
"Penápolis (SP)","2018","63047"
"Pereira Barreto (SP)","2018","25660"
"Pereiras (SP)","2018","8560"
"Peruíbe (SP)","2018","67548"
"Piacatu (SP)","2018","5922"
"Piedade (SP)","2018","55149"
"Pilar do Sul (SP)","2018","28963"
"Pindamonhangaba (SP)","2018","166475"
"Pindorama (SP)","2018","16877"
"Pinhalzinho (SP)","2018","15021"
"Piquerobi (SP)","2018","3685"
"Piquete (SP)","2018","13742"
"Piracaia (SP)","2018","27140"
"Piracicaba (SP)","2018","400949"
"Piraju (SP)","2018","29741"
"Pirajuí (SP)","2018","25259"
"Pirangi (SP)","2018","11362"
"Pirapora do Bom Jesus (SP)","2018","18604"
"Pirapozinho (SP)","2018","27295"
"Pirassununga (SP)","2018","75930"
"Piratininga (SP)","2018","13503"
"Pitangueiras (SP)","2018","39349"
"Planalto (SP)","2018","5167"
"Platina (SP)","2018","3521"
"Poá (SP)","2018","116530"
"Poloni (SP)","2018","6004"
"Pompéia (SP)","2018","21851"
"Pongaí (SP)","2018","3432"
"Pontal (SP)","2018","49047"
"Pontalinda (SP)","2018","4580"
"Pontes Gestal (SP)","2018","2577"
"Populina (SP)","2018","4186"
"Porangaba (SP)","2018","9779"
"Porto Feliz (SP)","2018","52785"
"Porto Ferreira (SP)","2018","55787"
"Potim (SP)","2018","24143"
"Potirendaba (SP)","2018","17201"
"Pracinha (SP)","2018","3971"
"Pradópolis (SP)","2018","21110"
"Praia Grande (SP)","2018","319146"
"Pratânia (SP)","2018","5204"
"Presidente Alves (SP)","2018","4108"
"Presidente Bernardes (SP)","2018","13190"
"Presidente Epitácio (SP)","2018","44006"
"Presidente Prudente (SP)","2018","227072"
"Presidente Venceslau (SP)","2018","39448"
"Promissão (SP)","2018","40027"
"Quadra (SP)","2018","3753"
"Quatá (SP)","2018","14006"
"Queiroz (SP)","2018","3351"
"Queluz (SP)","2018","13228"
"Quintana (SP)","2018","6587"
"Rafard (SP)","2018","9050"
"Rancharia (SP)","2018","29688"
"Redenção da Serra (SP)","2018","3863"
"Regente Feijó (SP)","2018","20124"
"Reginópolis (SP)","2018","9399"
"Registro (SP)","2018","56249"
"Restinga (SP)","2018","7504"
"Ribeira (SP)","2018","3351"
"Ribeirão Bonito (SP)","2018","13137"
"Ribeirão Branco (SP)","2018","16684"
"Ribeirão Corrente (SP)","2018","4682"
"Ribeirão do Sul (SP)","2018","4542"
"Ribeirão dos Índios (SP)","2018","2227"
"Ribeirão Grande (SP)","2018","7666"
"Ribeirão Pires (SP)","2018","122607"
"Ribeirão Preto (SP)","2018","694534"
"Riversul (SP)","2018","5607"
"Rifaina (SP)","2018","3618"
"Rincão (SP)","2018","10786"
"Rinópolis (SP)","2018","10003"
"Rio Claro (SP)","2018","204797"
"Rio das Pedras (SP)","2018","34704"
"Rio Grande da Serra (SP)","2018","50241"
"Riolândia (SP)","2018","12342"
"Rosana (SP)","2018","17015"
"Roseira (SP)","2018","10621"
"Rubiácea (SP)","2018","3093"
"Rubinéia (SP)","2018","3125"
"Sabino (SP)","2018","5564"
"Sagres (SP)","2018","2435"
"Sales (SP)","2018","6253"
"Sales Oliveira (SP)","2018","11779"
"Salesópolis (SP)","2018","17022"
"Salmourão (SP)","2018","5262"
"Saltinho (SP)","2018","8176"
"Salto (SP)","2018","117561"
"Salto de Pirapora (SP)","2018","44972"
"Salto Grande (SP)","2018","9297"
"Sandovalina (SP)","2018","4248"
"Santa Adélia (SP)","2018","15397"
"Santa Albertina (SP)","2018","5993"
"Santa Bárbara d'Oeste (SP)","2018","192536"
"Santa Branca (SP)","2018","14717"
"Santa Clara d'Oeste (SP)","2018","2118"
"Santa Cruz da Conceição (SP)","2018","4461"
"Santa Cruz da Esperança (SP)","2018","2124"
"Santa Cruz das Palmeiras (SP)","2018","33975"
"Santa Cruz do Rio Pardo (SP)","2018","47395"
"Santa Ernestina (SP)","2018","5611"
"Santa Fé do Sul (SP)","2018","32076"
"Santa Gertrudes (SP)","2018","26403"
"Santa Isabel (SP)","2018","56792"
"Santa Lúcia (SP)","2018","8779"
"Santa Maria da Serra (SP)","2018","6107"
"Santa Mercedes (SP)","2018","2935"
"Santana da Ponte Pensa (SP)","2018","1507"
"Santana de Parnaíba (SP)","2018","136517"
"Santa Rita d'Oeste (SP)","2018","2510"
"Santa Rita do Passa Quatro (SP)","2018","27514"
"Santa Rosa de Viterbo (SP)","2018","26322"
"Santa Salete (SP)","2018","1539"
"Santo Anastácio (SP)","2018","20889"
"Santo André (SP)","2018","716109"
"Santo Antônio da Alegria (SP)","2018","6880"
"Santo Antônio de Posse (SP)","2018","23085"
"Santo Antônio do Aracanguá (SP)","2018","8356"
"Santo Antônio do Jardim (SP)","2018","5968"
"Santo Antônio do Pinhal (SP)","2018","6794"
"Santo Expedito (SP)","2018","3086"
"Santópolis do Aguapeí (SP)","2018","4736"
"Santos (SP)","2018","432957"
"São Bento do Sapucaí (SP)","2018","10862"
"São Bernardo do Campo (SP)","2018","833240"
"São Caetano do Sul (SP)","2018","160275"
"São Carlos (SP)","2018","249415"
"São Francisco (SP)","2018","2826"
"São João da Boa Vista (SP)","2018","90637"
"São João das Duas Pontes (SP)","2018","2574"
"São João de Iracema (SP)","2018","1912"
"São João do Pau d'Alho (SP)","2018","2111"
"São Joaquim da Barra (SP)","2018","51447"
"São José da Bela Vista (SP)","2018","8895"
"São José do Barreiro (SP)","2018","4151"
"São José do Rio Pardo (SP)","2018","54763"
"São José do Rio Preto (SP)","2018","456245"
"São José dos Campos (SP)","2018","713943"
"São Lourenço da Serra (SP)","2018","15667"
"São Luiz do Paraitinga (SP)","2018","10684"
"São Manuel (SP)","2018","40781"
"São Miguel Arcanjo (SP)","2018","32859"
"São Paulo (SP)","2018","12176866"
"São Pedro (SP)","2018","35318"
"São Pedro do Turvo (SP)","2018","7636"
"São Roque (SP)","2018","89943"
"São Sebastião (SP)","2018","87596"
"São Sebastião da Grama (SP)","2018","12205"
"São Simão (SP)","2018","15257"
"São Vicente (SP)","2018","363173"
"Sarapuí (SP)","2018","10177"
"Sarutaiá (SP)","2018","3646"
"Sebastianópolis do Sul (SP)","2018","3470"
"Serra Azul (SP)","2018","14334"
"Serrana (SP)","2018","44555"
"Serra Negra (SP)","2018","29001"
"Sertãozinho (SP)","2018","124453"
"Sete Barras (SP)","2018","12884"
"Severínia (SP)","2018","17328"
"Silveiras (SP)","2018","6264"
"Socorro (SP)","2018","40648"
"Sorocaba (SP)","2018","671186"
"Sud Mennucci (SP)","2018","7708"
"Sumaré (SP)","2018","278571"
"Suzano (SP)","2018","294638"
"Suzanápolis (SP)","2018","3911"
"Tabapuã (SP)","2018","12328"
"Tabatinga (SP)","2018","16345"
"Taboão da Serra (SP)","2018","285570"
"Taciba (SP)","2018","6240"
"Taguaí (SP)","2018","13569"
"Taiaçu (SP)","2018","6268"
"Taiúva (SP)","2018","5568"
"Tambaú (SP)","2018","23182"
"Tanabi (SP)","2018","25830"
"Tapiraí (SP)","2018","7850"
"Tapiratiba (SP)","2018","12970"
"Taquaral (SP)","2018","2810"
"Taquaritinga (SP)","2018","56984"
"Taquarituba (SP)","2018","23180"
"Taquarivaí (SP)","2018","5792"
"Tarabai (SP)","2018","7395"
"Tarumã (SP)","2018","14812"
"Tatuí (SP)","2018","120533"
"Taubaté (SP)","2018","311854"
"Tejupá (SP)","2018","4574"
"Teodoro Sampaio (SP)","2018","23019"
"Terra Roxa (SP)","2018","9302"
"Tietê (SP)","2018","41622"
"Timburi (SP)","2018","2663"
"Torre de Pedra (SP)","2018","2401"
"Torrinha (SP)","2018","9963"
"Trabiju (SP)","2018","1709"
"Tremembé (SP)","2018","46642"
"Três Fronteiras (SP)","2018","5781"
"Tuiuti (SP)","2018","6808"
"Tupã (SP)","2018","65477"
"Tupi Paulista (SP)","2018","15404"
"Turiúba (SP)","2018","2012"
"Turmalina (SP)","2018","1759"
"Ubarana (SP)","2018","6216"
"Ubatuba (SP)","2018","89747"
"Ubirajara (SP)","2018","4754"
"Uchoa (SP)","2018","10068"
"União Paulista (SP)","2018","1823"
"Urânia (SP)","2018","9108"
"Uru (SP)","2018","1177"
"Urupês (SP)","2018","13727"
"Valentim Gentil (SP)","2018","13115"
"Valinhos (SP)","2018","127123"
"Valparaíso (SP)","2018","26130"
"Vargem (SP)","2018","10378"
"Vargem Grande do Sul (SP)","2018","42573"
"Vargem Grande Paulista (SP)","2018","51702"
"Várzea Paulista (SP)","2018","120572"
"Vera Cruz (SP)","2018","10864"
"Vinhedo (SP)","2018","77308"
"Viradouro (SP)","2018","18775"
"Vista Alegre do Alto (SP)","2018","8626"
"Vitória Brasil (SP)","2018","1834"
"Votorantim (SP)","2018","121331"
"Votuporanga (SP)","2018","93736"
"Zacarias (SP)","2018","2684"
"Chavantes (SP)","2018","12418"
"Estiva Gerbi (SP)","2018","11198"
"Abatiá (PR)","2018","7507"
"Adrianópolis (PR)","2018","5983"
"Agudos do Sul (PR)","2018","9269"
"Almirante Tamandaré (PR)","2018","117168"
"Altamira do Paraná (PR)","2018","2209"
"Altônia (PR)","2018","21933"
"Alto Paraná (PR)","2018","14679"
"Alto Piquiri (PR)","2018","9896"
"Alvorada do Sul (PR)","2018","11306"
"Amaporã (PR)","2018","6181"
"Ampére (PR)","2018","18989"
"Anahy (PR)","2018","2816"
"Andirá (PR)","2018","20139"
"Ângulo (PR)","2018","2927"
"Antonina (PR)","2018","19011"
"Antônio Olinto (PR)","2018","7441"
"Apucarana (PR)","2018","133726"
"Arapongas (PR)","2018","121198"
"Arapoti (PR)","2018","27925"
"Arapuã (PR)","2018","3128"
"Araruna (PR)","2018","13939"
"Araucária (PR)","2018","141410"
"Ariranha do Ivaí (PR)","2018","2151"
"Assaí (PR)","2018","15289"
"Assis Chateaubriand (PR)","2018","33397"
"Astorga (PR)","2018","26011"
"Atalaia (PR)","2018","3902"
"Balsa Nova (PR)","2018","12787"
"Bandeirantes (PR)","2018","31526"
"Barbosa Ferraz (PR)","2018","11714"
"Barracão (PR)","2018","10238"
"Barra do Jacaré (PR)","2018","2781"
"Bela Vista da Caroba (PR)","2018","3567"
"Bela Vista do Paraíso (PR)","2018","15395"
"Bituruna (PR)","2018","16377"
"Boa Esperança (PR)","2018","4165"
"Boa Esperança do Iguaçu (PR)","2018","2538"
"Boa Ventura de São Roque (PR)","2018","6411"
"Boa Vista da Aparecida (PR)","2018","7643"
"Bocaiúva do Sul (PR)","2018","12755"
"Bom Jesus do Sul (PR)","2018","3577"
"Bom Sucesso (PR)","2018","6995"
"Bom Sucesso do Sul (PR)","2018","3274"
"Borrazópolis (PR)","2018","6749"
"Braganey (PR)","2018","5473"
"Brasilândia do Sul (PR)","2018","2719"
"Cafeara (PR)","2018","2914"
"Cafelândia (PR)","2018","17775"
"Cafezal do Sul (PR)","2018","4080"
"Califórnia (PR)","2018","8533"
"Cambará (PR)","2018","25252"
