"Tabela 2030 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Classes de rendimento nominal mensal"
"Município","Ano","Total","Até 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento"
"Aguiarnópolis (TO)","2010","3997","1499","737","170","89","60","11","5","1425"
"Aliança do Tocantins (TO)","2010","4749","1844","785","150","118","50","19","2","1781"
"Almas (TO)","2010","6061","2596","762","195","145","125","20","10","2208"
"Alvorada (TO)","2010","6968","2723","1434","363","288","201","50","12","1898"
"Ananás (TO)","2010","7940","3556","1226","213","217","121","37","13","2558"
"Angico (TO)","2010","2563","1192","299","58","49","6","5","3","950"
"Aparecida do Rio Negro (TO)","2010","3376","1462","404","83","79","42","6","-","1300"
"Aragominas (TO)","2010","4762","2251","665","98","101","89","5","9","1544"
"Araguacema (TO)","2010","5070","2069","535","158","117","66","11","5","2111"
"Araguaçu (TO)","2010","7494","3070","1156","239","213","73","36","22","2686"
"Araguaína (TO)","2010","124535","39511","23486","8029","6564","5125","1663","823","39335"
"Araguanã (TO)","2010","4016","1734","523","157","103","37","7","10","1446"
"Araguatins (TO)","2010","24678","10041","2365","667","751","562","105","8","10179"
"Arapoema (TO)","2010","5557","2388","883","219","134","103","21","11","1798"
"Arraias (TO)","2010","8805","3602","1024","259","234","236","18","30","3403"
"Augustinópolis (TO)","2010","12846","5747","1433","380","356","195","51","28","4657"
"Aurora do Tocantins (TO)","2010","2855","1265","360","75","48","44","6","15","1042"
"Axixá do Tocantins (TO)","2010","7320","3144","1038","216","237","93","6","5","2581"
"Babaçulândia (TO)","2010","8704","3384","1258","250","169","89","13","6","3536"
"Bandeirantes do Tocantins (TO)","2010","2489","795","263","89","37","33","-","-","1272"
"Barra do Ouro (TO)","2010","3203","1313","350","71","35","46","7","-","1381"
"Barrolândia (TO)","2010","4458","1757","648","208","105","39","6","-","1696"
"Bernardo Sayão (TO)","2010","3673","1630","553","123","88","26","12","-","1240"
