"Tabela 2030 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Classes de rendimento nominal mensal"
"Município","Ano","Total","Até 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento"
"São João Nepomuceno (MG)","2010","22088","8510","5691","1358","795","612","139","27","4956"
"São Joaquim de Bicas (MG)","2010","21616","5503","4793","1355","718","351","125","17","8753"
"São José da Barra (MG)","2010","5806","1611","1295","454","258","223","99","33","1833"
"São José da Lapa (MG)","2010","16868","4907","4150","1006","725","276","80","10","5713"
"São José da Safira (MG)","2010","3317","1824","410","42","54","29","3","12","942"
"São José da Varginha (MG)","2010","3560","1402","793","167","106","48","25","5","1014"
"São José do Alegre (MG)","2010","3492","1367","686","176","123","61","11","9","1058"
"São José do Divino (MG)","2010","3215","1442","335","97","85","48","3","11","1194"
"São José do Goiabal (MG)","2010","4898","2242","745","143","75","65","9","15","1604"
"São José do Jacuri (MG)","2010","5511","2800","523","120","102","28","13","6","1920"
"São José do Mantimento (MG)","2010","2206","910","292","92","38","15","12","-","847"
"São Lourenço (MG)","2010","36498","10601","8267","2708","2467","1788","545","214","9907"
"São Miguel do Anta (MG)","2010","5881","3066","761","165","131","53","7","6","1694"
"São Pedro da União (MG)","2010","4480","1962","837","221","149","85","29","7","1191"
"São Pedro dos Ferros (MG)","2010","7119","3255","1110","253","167","78","23","-","2233"
"São Pedro do Suaçuí (MG)","2010","4785","2448","496","133","80","43","10","3","1572"
"São Romão (MG)","2010","8437","3594","1078","257","113","74","12","12","3298"
"São Roque de Minas (MG)","2010","5846","2111","1401","390","304","157","39","6","1438"
"São Sebastião da Bela Vista (MG)","2010","4213","1516","1000","267","164","93","15","20","1138"
"São Sebastião da Vargem Alegre (MG)","2010","2445","1193","367","74","97","24","-","-","690"
"São Sebastião do Anta (MG)","2010","4691","2247","726","132","63","39","3","3","1477"
"São Sebastião do Maranhão (MG)","2010","8721","4300","906","98","61","63","12","8","3273"
"São Sebastião do Oeste (MG)","2010","4968","1674","1478","287","154","63","29","5","1278"
"São Sebastião do Paraíso (MG)","2010","56425","17100","14713","4842","3643","1857","549","257","13464"
"São Sebastião do Rio Preto (MG)","2010","1385","620","237","47","70","21","8","2","379"
"São Sebastião do Rio Verde (MG)","2010","1869","747","351","46","55","32","9","-","629"
"São Tiago (MG)","2010","9140","4186","1574","367","315","125","20","21","2531"
"São Tomás de Aquino (MG)","2010","6037","2231","1630","449","222","139","36","10","1320"
"São Thomé das Letras (MG)","2010","5661","2231","1351","288","118","84","2","-","1586"
"São Vicente de Minas (MG)","2010","6061","2187","1099","236","225","154","71","10","2079"
"Sapucaí-Mirim (MG)","2010","5282","2110","1307","204","191","82","22","12","1353"
"Sardoá (MG)","2010","4674","1973","630","123","110","45","4","6","1784"
"Sarzedo (MG)","2010","21538","5171","4975","2137","1195","687","134","83","7157"
"Setubinha (MG)","2010","8298","3518","819","141","104","47","11","6","3652"
"Sem-Peixe (MG)","2010","2534","1167","432","69","34","17","8","2","805"
"Senador Amaral (MG)","2010","4373","2112","796","154","80","44","15","-","1172"
"Senador Cortes (MG)","2010","1679","820","278","58","39","31","3","5","445"
"Senador Firmino (MG)","2010","6302","3050","859","204","160","67","14","8","1939"
"Senador José Bento (MG)","2010","1700","819","334","86","42","31","-","2","387"
"Senador Modestino Gonçalves (MG)","2010","3869","1886","411","92","41","24","-","-","1416"
"Senhora de Oliveira (MG)","2010","4893","2408","593","84","49","42","12","3","1700"
"Senhora do Porto (MG)","2010","2919","1622","273","82","46","24","6","-","867"
"Senhora dos Remédios (MG)","2010","8875","4259","1075","164","104","29","5","-","3239"
"Sericita (MG)","2010","5997","3695","647","123","74","42","16","6","1395"
"Seritinga (MG)","2010","1572","661","273","61","58","35","7","-","476"
"Serra Azul de Minas (MG)","2010","3417","1397","332","40","35","14","5","-","1595"
"Serra da Saudade (MG)","2010","710","253","184","40","21","17","-","-","196"
"Serra dos Aimorés (MG)","2010","6993","2841","1093","312","172","84","25","12","2453"
"Serra do Salitre (MG)","2010","8863","2770","2277","743","408","237","35","44","2349"
"Serrania (MG)","2010","6344","2825","1204","226","148","109","23","13","1797"
"Serranópolis de Minas (MG)","2010","3715","1904","528","102","29","18","9","6","1120"
"Serranos (MG)","2010","1734","844","224","71","38","28","8","2","518"
"Serro (MG)","2010","17267","7985","1788","404","239","334","80","116","6322"
"Sete Lagoas (MG)","2010","185678","48924","46080","15135","11626","7033","2504","1221","53155"
"Silveirânia (MG)","2010","1938","812","354","79","48","18","8","-","620"
"Silvianópolis (MG)","2010","5241","1944","1265","277","227","122","72","17","1317"
"Simão Pereira (MG)","2010","2195","701","472","85","32","46","12","3","842"
"Simonésia (MG)","2010","15295","7100","2377","528","331","198","40","16","4705"
"Sobrália (MG)","2010","4981","2337","642","126","97","44","14","3","1719"
"Soledade de Minas (MG)","2010","4872","1953","1025","293","125","132","24","3","1317"
"Tabuleiro (MG)","2010","3600","1621","636","143","92","88","12","6","1004"
"Taiobeiras (MG)","2010","26032","13103","3056","737","846","329","109","64","7788"
"Taparuba (MG)","2010","2727","1346","413","79","42","17","2","-","829"
"Tapira (MG)","2010","3588","974","763","317","231","132","82","26","1063"
"Tapiraí (MG)","2010","1638","651","365","85","65","38","6","-","429"
"Taquaraçu de Minas (MG)","2010","3248","1522","596","144","93","33","19","-","840"
"Tarumirim (MG)","2010","12249","5550","1437","346","246","172","28","-","4470"
"Teixeiras (MG)","2010","10002","4460","1540","333","276","205","73","18","3097"
"Teófilo Otoni (MG)","2010","115144","40518","18426","5850","4436","3472","1116","473","40853"
"Timóteo (MG)","2010","70204","15787","14798","5987","5634","3334","1070","382","23212"
"Tiradentes (MG)","2010","6102","2172","1363","384","277","198","115","39","1553"
"Tiros (MG)","2010","6098","2373","1120","240","180","132","57","35","1961"
"Tocantins (MG)","2010","13836","5444","3275","785","475","282","77","29","3471"
"Tocos do Moji (MG)","2010","3563","1782","729","182","80","54","6","8","722"
"Toledo (MG)","2010","4983","2386","1067","232","156","43","9","6","1084"
"Tombos (MG)","2010","8357","3603","1320","452","317","264","74","31","2297"
"Três Corações (MG)","2010","62179","18255","13338","4166","3047","2439","740","429","19765"
"Três Marias (MG)","2010","24127","8043","4636","1563","1196","677","148","123","7741"
"Três Pontas (MG)","2010","46336","16801","10213","2785","2042","1465","278","189","12562"
"Tumiritinga (MG)","2010","5218","2105","945","193","106","67","16","-","1786"
"Tupaciguara (MG)","2010","21062","7661","4409","1377","1080","638","212","99","5585"
"Turmalina (MG)","2010","15179","6556","2545","579","345","276","80","35","4763"
"Turvolândia (MG)","2010","3973","1621","983","206","187","75","36","15","851"
"Ubá (MG)","2010","87734","26384","22376","6474","4324","3029","717","451","23980"
"Ubaí (MG)","2010","9397","4248","982","168","101","66","5","5","3822"
"Ubaporanga (MG)","2010","10230","4627","1597","276","191","80","6","-","3452"
"Uberaba (MG)","2010","259646","56189","66982","26180","20659","14406","4810","1792","68628"
"Uberlândia (MG)","2010","523900","104497","137640","52127","46302","29115","9734","5084","139401"
"Umburatiba (MG)","2010","2234","1028","281","56","58","12","5","3","790"
"Unaí (MG)","2010","66060","22595","12514","4146","3539","2387","664","370","19846"
"União de Minas (MG)","2010","3781","1186","777","321","163","54","14","7","1259"
"Uruana de Minas (MG)","2010","2772","1161","368","58","32","27","6","6","1115"
"Urucânia (MG)","2010","8710","3302","1859","265","178","139","5","4","2958"
"Urucuia (MG)","2010","10836","4949","1198","178","106","77","22","4","4301"
"Vargem Alegre (MG)","2010","5575","2482","742","194","121","54","14","12","1956"
"Vargem Bonita (MG)","2010","1882","798","486","107","55","19","9","2","405"
"Vargem Grande do Rio Pardo (MG)","2010","3964","1822","414","70","36","20","3","-","1598"
"Varginha (MG)","2010","107013","24147","27896","9277","7662","5415","1682","880","30053"
"Varjão de Minas (MG)","2010","5055","1436","1398","370","212","100","33","6","1502"
"Várzea da Palma (MG)","2010","30023","11565","5605","1037","667","393","139","25","10593"
"Varzelândia (MG)","2010","15483","6348","1619","292","215","90","-","-","6919"
"Vazante (MG)","2010","16942","5332","3683","1559","938","379","164","65","4822"
"Verdelândia (MG)","2010","6549","3136","688","136","41","17","-","4","2527"
"Veredinha (MG)","2010","4714","2209","639","107","44","21","5","-","1689"
"Veríssimo (MG)","2010","2955","775","697","202","78","35","23","8","1135"
"Vermelho Novo (MG)","2010","4028","1759","525","93","76","26","-","8","1541"
"Vespasiano (MG)","2010","88069","23610","23266","5770","4016","1887","383","102","29035"
"Viçosa (MG)","2010","63397","19956","11571","3462","4120","3408","1610","530","18741"
"Vieiras (MG)","2010","3290","1497","475","108","80","28","4","-","1098"
"Mathias Lobato (MG)","2010","2756","1099","267","82","39","15","4","9","1241"
"Virgem da Lapa (MG)","2010","11693","5077","1381","346","181","73","12","-","4623"
"Virgínia (MG)","2010","7449","3871","978","207","172","86","38","5","2093"
"Virginópolis (MG)","2010","9055","3898","1184","344","195","147","37","20","3230"
"Virgolândia (MG)","2010","4811","2379","564","110","96","47","8","6","1600"
"Visconde do Rio Branco (MG)","2010","32842","13179","7576","1988","1487","755","261","137","7459"
"Volta Grande (MG)","2010","4312","1596","752","209","122","127","32","6","1468"
"Wenceslau Braz (MG)","2010","2183","813","360","124","75","37","11","-","764"
"Afonso Cláudio (ES)","2010","26642","12342","4783","1211","921","512","188","30","6655"
"Águia Branca (ES)","2010","8086","3497","1375","332","320","129","37","26","2372"
"Água Doce do Norte (ES)","2010","10034","4572","1347","295","286","133","40","5","3357"
"Alegre (ES)","2010","26724","10191","4841","1393","1347","1059","373","69","7451"
"Alfredo Chaves (ES)","2010","12186","5343","2690","687","510","349","77","52","2477"
"Alto Rio Novo (ES)","2010","6181","2686","953","176","214","75","29","6","2043"
"Anchieta (ES)","2010","20457","5656","4886","1753","1140","575","148","33","6266"
"Apiacá (ES)","2010","6524","3001","1016","286","182","130","21","24","1866"
"Aracruz (ES)","2010","68819","16008","15978","5406","4574","2904","915","282","22751"
"Atílio Vivácqua (ES)","2010","8414","2660","2072","527","223","109","25","16","2782"
"Baixo Guandu (ES)","2010","25075","9955","4929","1461","882","436","85","77","7248"
"Barra de São Francisco (ES)","2010","34796","13151","6402","1913","1229","785","232","41","11043"
"Boa Esperança (ES)","2010","11940","5046","2277","525","420","245","34","16","3376"
"Bom Jesus do Norte (ES)","2010","8170","3170","1509","461","384","250","61","16","2320"
"Brejetuba (ES)","2010","9780","4693","1674","380","288","122","21","10","2593"
"Cachoeiro de Itapemirim (ES)","2010","163807","39026","38765","13362","10064","6422","1620","897","53651"
"Cariacica (ES)","2010","294798","69218","75172","24410","16979","9419","1695","460","97444"
"Castelo (ES)","2010","30466","10635","7355","2066","1495","948","266","34","7669"
"Colatina (ES)","2010","97909","27174","27365","7301","5531","3844","1078","386","25231"
"Conceição da Barra (ES)","2010","23451","8259","4079","1000","820","431","182","19","8661"
"Conceição do Castelo (ES)","2010","9962","3997","2127","568","337","238","56","33","2606"
"Divino de São Lourenço (ES)","2010","3794","1979","532","92","125","58","8","2","998"
"Domingos Martins (ES)","2010","27522","11967","6120","1245","1023","597","146","80","6345"
"Dores do Rio Preto (ES)","2010","5386","2418","827","169","121","82","17","3","1750"
"Ecoporanga (ES)","2010","19730","8681","3100","618","533","383","41","13","6362"
"Fundão (ES)","2010","14512","4353","3212","970","792","608","147","46","4383"
"Governador Lindenberg (ES)","2010","9305","3507","2166","458","397","195","33","4","2544"
"Guaçuí (ES)","2010","23734","9488","4051","1269","1237","729","195","53","6713"
"Guarapari (ES)","2010","89801","22592","20538","5837","5713","3989","1206","640","29286"
"Ibatiba (ES)","2010","18861","8293","4115","711","531","292","77","34","4809"
"Ibiraçu (ES)","2010","9603","2818","2121","741","483","364","85","20","2972"
"Ibitirama (ES)","2010","7340","3826","1041","184","140","110","26","-","2013"
"Iconha (ES)","2010","11116","4260","2419","844","524","302","109","35","2624"
"Irupi (ES)","2010","9788","4826","1730","401","322","192","58","24","2236"
"Itaguaçu (ES)","2010","12411","5353","2954","708","407","176","64","9","2738"
"Itapemirim (ES)","2010","26006","9085","4876","1308","737","374","146","-","9481"
"Itarana (ES)","2010","9558","4311","2122","473","384","277","37","29","1926"
"Iúna (ES)","2010","22989","9977","4209","1021","804","539","150","54","6235"
"Jaguaré (ES)","2010","20441","7995","3702","1018","871","444","143","63","6205"
"Jerônimo Monteiro (ES)","2010","9397","3709","1781","415","355","249","51","54","2784"
"João Neiva (ES)","2010","13859","3147","2958","1151","993","676","158","77","4698"
"Laranja da Terra (ES)","2010","9588","4899","1564","380","209","75","17","15","2427"
"Linhares (ES)","2010","118008","31889","28440","9730","7330","4867","1496","561","33694"
"Mantenópolis (ES)","2010","11592","5259","1441","420","365","139","45","17","3906"
"Marataízes (ES)","2010","29076","9730","5395","1205","1127","941","200","77","10401"
"Marechal Floriano (ES)","2010","12214","4367","2911","848","531","417","102","50","2988"
"Marilândia (ES)","2010","9799","3972","2347","536","334","126","40","7","2436"
"Mimoso do Sul (ES)","2010","22482","9746","4040","1071","723","440","157","69","6235"
"Montanha (ES)","2010","15227","6636","2480","807","517","317","134","44","4291"
"Mucurici (ES)","2010","4850","2337","616","138","70","61","13","7","1608"
"Muniz Freire (ES)","2010","15630","6720","2526","554","425","282","48","16","5058"
"Muqui (ES)","2010","12444","4759","2174","640","468","358","80","33","3932"
"Nova Venécia (ES)","2010","39543","14228","8106","2711","1897","1186","137","120","11156"
"Pancas (ES)","2010","18168","7746","3254","644","506","324","72","54","5567"
"Pedro Canário (ES)","2010","19566","6689","3795","1123","712","354","51","30","6813"
"Pinheiros (ES)","2010","19869","8447","3816","952","633","463","138","18","5400"
"Piúma (ES)","2010","15495","4830","3236","1009","884","511","142","45","4839"
"Ponto Belo (ES)","2010","5940","2508","878","166","105","86","15","11","2171"
"Presidente Kennedy (ES)","2010","8846","3497","1608","327","221","128","33","4","3028"
"Rio Bananal (ES)","2010","15105","5578","3372","766","586","302","122","24","4356"
"Rio Novo do Sul (ES)","2010","9835","3454","2054","612","371","269","80","21","2974"
"Santa Leopoldina (ES)","2010","10540","4391","1527","316","290","171","77","10","3757"
"Santa Maria de Jetibá (ES)","2010","29150","12666","6678","1496","1175","768","119","137","6109"
"Santa Teresa (ES)","2010","19132","6622","4427","1322","1056","709","207","65","4723"
"São Domingos do Norte (ES)","2010","6850","2802","1378","358","281","154","34","11","1831"
"São Gabriel da Palha (ES)","2010","27528","9143","7367","1565","1099","701","185","105","7363"
"São José do Calçado (ES)","2010","9077","4057","1464","449","242","198","44","31","2592"
"São Mateus (ES)","2010","91475","26497","17819","6165","5084","3550","1106","486","30769"
"São Roque do Canaã (ES)","2010","9812","3287","2710","608","310","213","43","17","2623"
"Serra (ES)","2010","343632","71083","85937","32325","23085","14839","3303","939","112121"
"Sooretama (ES)","2010","19206","6902","4093","886","737","303","127","9","6149"
"Vargem Alta (ES)","2010","16109","6225","3676","947","493","222","48","22","4476"
"Venda Nova do Imigrante (ES)","2010","17680","6193","4129","1249","776","646","217","100","4370"
"Viana (ES)","2010","55182","13947","13272","3814","2198","1003","170","54","20724"
"Vila Pavão (ES)","2010","7508","3322","1306","441","290","116","-","4","2029"
"Vila Valério (ES)","2010","11790","4671","2457","527","475","247","106","43","3264"
"Vila Velha (ES)","2010","360188","62635","82400","33624","31757","27584","11063","5304","105821"
"Vitória (ES)","2010","288346","42453","55634","24682","27233","31902","17899","8710","79833"
"Angra dos Reis (RJ)","2010","144603","26996","30575","13839","11546","6743","2030","806","52068"
"Aperibé (RJ)","2010","8960","3186","1839","490","233","150","48","21","2993"
"Araruama (RJ)","2010","96235","27644","19853","5918","5146","3882","1154","405","32232"
"Areal (RJ)","2010","9847","3046","2161","698","533","215","82","10","3101"
"Armação dos Búzios (RJ)","2010","23537","3840","6453","2328","1588","922","496","136","7775"
"Arraial do Cabo (RJ)","2010","23952","6000","5270","2105","1676","1138","243","47","7474"
"Barra do Piraí (RJ)","2010","82354","21557","18764","6657","5112","2973","873","241","26177"
"Barra Mansa (RJ)","2010","155072","36702","35213","13439","10082","5540","1656","521","51920"
"Belford Roxo (RJ)","2010","398520","98193","96501","27549","15906","6555","882","361","152573"
"Bom Jardim (RJ)","2010","21943","6947","5605","1334","1077","674","180","63","6062"
"Bom Jesus do Itabapoana (RJ)","2010","30929","11261","5288","1431","1718","1251","285","141","9553"
"Cabo Frio (RJ)","2010","159206","36026","38071","12944","10317","7573","2630","965","50679"
"Cachoeiras de Macacu (RJ)","2010","46837","14778","10292","3098","2056","1421","384","110","14699"
"Cambuci (RJ)","2010","13076","5463","2232","566","396","309","67","20","4023"
"Carapebus (RJ)","2010","11445","2960","2437","951","688","391","127","-","3891"
"Comendador Levy Gasparian (RJ)","2010","7070","2654","1640","346","288","142","37","16","1946"
"Campos dos Goytacazes (RJ)","2010","396966","107339","73485","23910","20373","15067","5238","1889","149664"
"Cantagalo (RJ)","2010","17133","5338","4234","1092","820","490","212","60","4886"
"Cardoso Moreira (RJ)","2010","10964","4213","1792","508","300","226","8","15","3902"
"Carmo (RJ)","2010","15008","5310","3195","888","614","372","73","31","4524"
"Casimiro de Abreu (RJ)","2010","30031","7144","7364","2794","1908","1455","418","122","8826"
"Conceição de Macabu (RJ)","2010","18094","5363","3993","1322","1063","670","125","22","5536"
"Cordeiro (RJ)","2010","17796","4954","4376","1428","1140","701","136","48","5013"
"Duas Barras (RJ)","2010","9345","3965","1902","593","371","219","53","13","2229"
"Duque de Caxias (RJ)","2010","729834","163638","168011","59270","39524","21643","3690","862","273196"
"Engenheiro Paulo de Frontin (RJ)","2010","11717","4158","2312","584","512","252","48","13","3837"
"Guapimirim (RJ)","2010","43568","11635","10127","3194","1945","955","243","127","15342"
"Iguaba Grande (RJ)","2010","19907","4796","3710","1462","1348","1026","218","128","7220"
"Itaboraí (RJ)","2010","187193","53009","41705","13549","8372","5066","958","330","64203"
"Itaguaí (RJ)","2010","92462","19780","19959","8129","5502","2812","656","185","35439"
"Italva (RJ)","2010","12319","4527","2627","635","581","393","52","42","3461"
"Itaocara (RJ)","2010","20237","8265","3344","1151","989","684","127","67","5609"
"Itaperuna (RJ)","2010","83853","25951","18850","5776","4740","3021","919","175","24421"
"Itatiaia (RJ)","2010","24656","6225","5916","2218","1677","1025","383","52","7160"
"Japeri (RJ)","2010","80236","21867","17774","4108","2226","765","108","72","33315"
"Laje do Muriaé (RJ)","2010","6474","2675","1048","234","220","149","11","6","2132"
"Macaé (RJ)","2010","175803","28100","41493","18018","14960","11585","4987","2065","54595"
"Macuco (RJ)","2010","4454","1364","855","345","204","93","22","20","1550"
"Magé (RJ)","2010","192828","50974","43521","13736","8942","4553","936","405","69760"
"Mangaratiba (RJ)","2010","31597","6535","7178","2742","2301","1688","485","175","10493"
"Maricá (RJ)","2010","111228","21831","23014","10206","9595","7607","2202","409","36364"
"Mendes (RJ)","2010","15877","5429","3531","1047","782","430","155","54","4450"
"Mesquita (RJ)","2010","144967","34191","31764","11295","8723","5514","1089","232","52160"
"Miguel Pereira (RJ)","2010","21623","6819","4521","1526","1325","985","369","100","5978"
"Miracema (RJ)","2010","23183","9716","3828","1547","968","659","182","107","6176"
"Natividade (RJ)","2010","13154","4910","2516","741","602","459","114","69","3744"
"Nilópolis (RJ)","2010","137414","27749","30348","12098","10655","6568","1428","307","48261"
"Niterói (RJ)","2010","437702","62589","76064","35764","43126","50764","31073","14740","123583"
"Nova Friburgo (RJ)","2010","159910","39421","46845","13656","10656","7533","2325","1049","38425"
"Nova Iguaçu (RJ)","2010","681292","163372","149729","48132","33831","18831","4428","1102","261868"
"Paracambi (RJ)","2010","42143","10375","8889","2791","2131","866","385","40","16667"
"Paraíba do Sul (RJ)","2010","35513","12124","6703","2241","1328","1215","332","115","11455"
"Paraty (RJ)","2010","31561","7243","7673","2420","2038","1378","437","137","10237"
"Paty do Alferes (RJ)","2010","22621","9072","3984","1110","491","414","200","80","7268"
"Petrópolis (RJ)","2010","259264","56613","67877","22144","15145","12672","4649","2318","77846"
"Pinheiral (RJ)","2010","19670","5205","3637","1362","1162","782","160","55","7308"
"Piraí (RJ)","2010","22936","5285","4963","1215","1468","874","259","45","8828"
"Porciúncula (RJ)","2010","15216","5753","2404","742","692","592","176","55","4803"
"Porto Real (RJ)","2010","14052","3578","3702","1149","835","379","105","8","4298"
"Quatis (RJ)","2010","10923","2869","2737","1052","492","219","60","-","3495"
"Queimados (RJ)","2010","116681","29393","26739","8351","4555","2072","373","66","45133"
"Quissamã (RJ)","2010","17232","5150","3759","1165","800","463","148","46","5701"
"Resende (RJ)","2010","103480","20688","24654","9478","7780","5917","2230","733","32000"
"Rio Bonito (RJ)","2010","48316","14234","9760","3348","2336","1680","419","81","16458"
"Rio Claro (RJ)","2010","14999","4544","2974","1124","792","407","113","49","4995"
"Rio das Flores (RJ)","2010","7341","2702","1515","453","163","132","19","22","2335"
"Rio das Ostras (RJ)","2010","89707","14231","19691","8611","8153","7285","2577","792","28367"
"Rio de Janeiro (RJ)","2010","5559923","889169","1163682","486076","470814","445156","227352","120796","1756877"
"Santa Maria Madalena (RJ)","2010","8927","3434","1510","340","483","184","73","5","2897"
"Santo Antônio de Pádua (RJ)","2010","35420","13107","6212","2261","1641","1100","364","107","10629"
"São Francisco de Itabapoana (RJ)","2010","35274","14048","4926","1191","700","383","69","43","13915"
"São Fidélis (RJ)","2010","32784","12681","6091","1721","1367","947","251","21","9704"
"São Gonçalo (RJ)","2010","874678","196568","210567","76487","55102","30903","6657","1371","297023"
"São João da Barra (RJ)","2010","28416","9235","5774","1754","1278","640","167","78","9489"
"São João de Meriti (RJ)","2010","394810","90739","98616","32808","20349","10792","1976","507","139023"
"São José de Ubá (RJ)","2010","6105","2916","799","252","112","86","15","6","1918"
"São José do Vale do Rio Preto (RJ)","2010","17442","7126","3600","786","618","470","52","45","4745"
"São Pedro da Aldeia (RJ)","2010","74767","18657","16107","5411","4425","3505","1120","266","25277"
"São Sebastião do Alto (RJ)","2010","7688","3530","1205","286","197","95","25","-","2349"
"Sapucaia (RJ)","2010","15156","4886","3072","972","640","330","88","27","5139"
"Saquarema (RJ)","2010","64059","17631","13106","4175","3295","2626","781","203","22242"
"Seropédica (RJ)","2010","66815","18159","15032","4816","3729","2193","393","171","22322"
"Silva Jardim (RJ)","2010","18061","6827","3598","607","737","401","86","9","5797"
"Sumidouro (RJ)","2010","12844","6045","2596","558","429","211","26","17","2963"
"Tanguá (RJ)","2010","26161","8396","5708","1447","758","347","50","19","9436"
"Teresópolis (RJ)","2010","141946","39357","32798","10183","7517","6335","2484","1104","42169"
"Trajano de Moraes (RJ)","2010","8914","3807","1395","351","322","198","46","17","2778"
"Três Rios (RJ)","2010","66868","18751","14721","4827","4057","2598","797","368","20749"
"Valença (RJ)","2010","62723","20308","14030","3844","3277","2200","677","195","18192"
"Varre-Sai (RJ)","2010","7870","3129","1516","286","194","103","28","10","2604"
"Vassouras (RJ)","2010","29799","9525","6338","2183","1643","1045","395","117","8552"
"Volta Redonda (RJ)","2010","226657","45815","50465","22569","19925","13294","4011","1306","69272"
"Adamantina (SP)","2010","30169","7795","7973","2559","2401","1197","558","195","7490"
"Adolfo (SP)","2010","3136","731","917","341","173","64","24","6","881"
"Aguaí (SP)","2010","27555","7401","7976","1773","1415","730","118","99","8044"
"Águas da Prata (SP)","2010","6728","1817","1936","602","406","260","24","49","1635"
"Águas de Lindóia (SP)","2010","15170","3641","4730","1297","877","453","142","36","3994"
"Águas de Santa Bárbara (SP)","2010","4828","872","1269","482","396","287","68","16","1437"
"Águas de São Pedro (SP)","2010","2441","321","534","331","347","230","91","31","555"
"Agudos (SP)","2010","29766","6299","9043","2931","1966","913","123","28","8463"
"Alambari (SP)","2010","4134","1108","1132","309","160","92","30","7","1296"
"Alfredo Marcondes (SP)","2010","3467","1118","905","276","175","75","-","-","918"
"Altair (SP)","2010","3241","759","840","361","206","71","16","10","978"
"Altinópolis (SP)","2010","13654","3833","3485","1251","908","470","138","39","3530"
"Alto Alegre (SP)","2010","3655","1270","1017","301","152","31","9","-","874"
"Alumínio (SP)","2010","14186","2257","3135","1350","1697","668","110","48","4919"
"Álvares Florence (SP)","2010","3545","1162","1007","196","172","73","19","9","907"
"Álvares Machado (SP)","2010","20366","5691","5809","1623","1049","746","161","58","5231"
"Álvaro de Carvalho (SP)","2010","4134","999","763","167","125","35","11","3","2031"
"Alvinlândia (SP)","2010","2556","773","725","180","123","41","22","10","682"
"Americana (SP)","2010","186763","22844","51248","24381","21132","14005","4151","1693","47308"
"Américo Brasiliense (SP)","2010","29378","4464","8562","3517","2144","928","102","71","9590"
"Américo de Campos (SP)","2010","5051","1692","1325","409","288","176","37","12","1112"
"Amparo (SP)","2010","58289","9780","18712","6927","4966","3151","862","314","13578"
"Analândia (SP)","2010","3673","843","1095","335","263","158","32","11","935"
"Andradina (SP)","2010","48941","11012","12749","4783","4027","2079","511","183","13598"
"Angatuba (SP)","2010","18933","5673","5088","1502","925","431","130","67","5118"
"Anhembi (SP)","2010","4728","1203","1327","388","276","105","26","2","1401"
"Anhumas (SP)","2010","3237","915","896","263","171","65","11","5","911"
"Aparecida (SP)","2010","30532","7911","7769","2428","2177","1537","378","87","8246"
"Aparecida d'Oeste (SP)","2010","3961","1475","944","243","174","63","17","10","1034"
"Apiaí (SP)","2010","21270","7739","3349","1244","782","419","122","63","7551"
"Araçariguama (SP)","2010","14113","2563","4194","1374","853","499","149","49","4432"
"Araçatuba (SP)","2010","160997","30006","44902","16034","13054","8322","2566","1493","44620"
"Araçoiaba da Serra (SP)","2010","23609","5085","6256","2138","1459","978","337","183","7173"
"Aramina (SP)","2010","4546","1109","1074","546","369","123","30","22","1274"
"Arandu (SP)","2010","5271","1596","1602","388","214","106","14","-","1349"
"Arapeí (SP)","2010","2121","749","533","116","67","11","4","-","641"
"Araraquara (SP)","2010","184871","28076","49659","20593","18340","12660","4048","1602","49892"
"Araras (SP)","2010","104549","17283","27879","11281","9516","5400","1857","563","30771"
"Arco-Íris (SP)","2010","1710","697","466","76","57","13","10","1","388"
"Arealva (SP)","2010","6882","1969","2078","611","327","209","72","15","1602"
"Areias (SP)","2010","3109","1195","550","74","112","31","13","-","1134"
"Areiópolis (SP)","2010","8922","1804","2747","984","515","132","23","11","2706"
"Ariranha (SP)","2010","7399","1730","1782","1005","625","265","53","29","1910"
"Artur Nogueira (SP)","2010","37880","7057","11840","4331","2590","1456","398","184","10023"
"Arujá (SP)","2010","63359","11384","15424","5934","4230","2806","1099","622","21861"
"Aspásia (SP)","2010","1612","543","421","92","85","26","2","2","442"
"Assis (SP)","2010","83733","17257","22151","8379","6619","4711","1387","630","22598"
"Atibaia (SP)","2010","109571","17797","30086","10118","8330","6654","2547","1324","32716"
"Auriflama (SP)","2010","12606","3370","4122","1071","675","440","117","47","2764"
"Avaí (SP)","2010","4251","1007","985","314","243","90","17","5","1589"
"Avanhandava (SP)","2010","9724","2118","2169","772","492","223","62","10","3878"
"Avaré (SP)","2010","71767","14409","20687","6676","6052","3706","866","365","19007"
"Bady Bassitt (SP)","2010","12773","2100","4228","1591","1173","521","91","20","3050"
"Balbinos (SP)","2010","3532","741","352","94","74","38","-","-","2233"
"Bálsamo (SP)","2010","7302","1765","2125","863","546","212","70","25","1697"
"Bananal (SP)","2010","8802","3008","1998","500","477","255","60","13","2491"
"Barão de Antonina (SP)","2010","2647","1094","566","183","102","55","3","7","637"
"Barbosa (SP)","2010","5621","1468","1684","407","192","92","34","3","1739"
