"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Abel Figueiredo (PA)","2018","76","75","798","718","735.85","13784","1.5","1440.93"
"Acará (PA)","2018","144","143","4938","4790","4673.64","104126","1.8","1713.80"
"Afuá (PA)","2018","64","61","2501","2436","2385.81","62761","2.1","2023.54"
"Água Azul do Norte (PA)","2018","116","115","1361","1253","1608.77","35693","1.8","1706.66"
"Alenquer (PA)","2018","268","254","3103","2805","2793.58","67018","1.9","1845.39"
"Almeirim (PA)","2018","378","365","4662","4271","4470.52","159885","2.9","2751.10"
"Altamira (PA)","2018","1835","1768","20043","17823","17873.58","524991","2.4","2259.42"
"Anajás (PA)","2018","104","102","1395","1297","1847.12","48463","2.1","2018.25"
"Ananindeua (PA)","2018","4568","4315","69107","63907","64648.39","1519040","1.9","1807.46"
"Anapu (PA)","2018","173","171","1791","1638","1780.76","39416","1.8","1702.64"
"Augusto Corrêa (PA)","2018","130","128","2676","2537","2448.66","61943","2.0","1945.91"
"Aurora do Pará (PA)","2018","69","69","1555","1490","1573.31","42637","2.2","2084.61"
"Aveiro (PA)","2018","27","25","760","746","768.77","19542","2.0","1955.32"
"Bagre (PA)","2018","53","52","725","668","666.37","9248","1.1","1067.57"
"Baião (PA)","2018","93","93","2242","2150","2089.97","53850","2.1","1982.00"
"Bannach (PA)","2018","33","33","416","383","427.87","10514","2.0","1890.20"
"Barcarena (PA)","2018","1114","1059","27907","26634","24623.55","910933","3.0","2845.72"
"Belém (PA)","2018","20088","18219","438512","414003","408009.92","18475868","3.7","3483.30"
"Belterra (PA)","2018","59","56","1310","1237","1301.72","28864","1.8","1705.69"
"Benevides (PA)","2018","631","608","10331","9680","10246.80","266646","2.1","2001.72"
"Bom Jesus do Tocantins (PA)","2018","128","128","1161","1028","971.41","22998","1.9","1821.15"
"Bonito (PA)","2018","44","43","1961","1916","1764.90","34801","1.6","1516.81"
"Bragança (PA)","2018","769","733","8220","7354","7290.19","178090","2.0","1879.13"
"Brasil Novo (PA)","2018","150","149","1456","1322","1324.79","29172","1.8","1693.88"
"Brejo Grande do Araguaia (PA)","2018","47","47","615","574","518.69","10705","1.7","1587.56"
"Breu Branco (PA)","2018","285","279","3610","3309","3574.57","112584","2.5","2422.76"
"Breves (PA)","2018","445","431","7808","7313","6727.20","200745","2.4","2295.45"
"Bujaru (PA)","2018","64","62","1819","1731","1728.34","37146","1.7","1653.26"
"Cachoeira do Piriá (PA)","2018","57","56","1028","955","933.77","20220","1.7","1665.73"
"Cachoeira do Arari (PA)","2018","60","57","788","748","778.86","18218","1.9","1799.29"
"Cametá (PA)","2018","515","492","6564","6005","6018.70","180938","2.4","2312.51"
"Canaã dos Carajás (PA)","2018","813","803","12481","11691","11076.75","480153","3.5","3334.45"
"Capanema (PA)","2018","781","749","8439","7441","7538.86","158252","1.7","1614.73"
"Capitão Poço (PA)","2018","405","389","4536","4034","3542.58","63322","1.4","1374.95"
"Castanhal (PA)","2018","2798","2704","35523","32281","31922.31","737403","1.9","1776.92"
"Chaves (PA)","2018","22","21","1372","1365","1237.63","29339","1.9","1823.50"
"Colares (PA)","2018","29","29","608","579","572.72","13994","2.0","1879.62"
"Conceição do Araguaia (PA)","2018","500","478","4213","3738","3746.44","98471","2.1","2021.83"
"Concórdia do Pará (PA)","2018","138","138","2770","2594","2619.39","71587","2.2","2102.28"
"Cumaru do Norte (PA)","2018","72","66","1032","974","1080.85","29681","2.2","2112.37"
"Curionópolis (PA)","2018","166","164","2652","2527","2443.71","85289","2.8","2684.72"
"Curralinho (PA)","2018","72","71","1922","1857","1835.06","52409","2.3","2196.91"
"Curuá (PA)","2018","48","48","974","925","954.84","20682","1.7","1666.15"
"Curuçá (PA)","2018","151","149","1998","1780","1741.58","41873","1.9","1849.48"
"Dom Eliseu (PA)","2018","474","466","4935","4380","4925.51","115770","1.9","1808.01"
"Eldorado do Carajás (PA)","2018","222","221","2295","2109","2076.95","50536","2.0","1871.68"
"Faro (PA)","2018","24","24","607","591","594.75","11240","1.5","1453.79"
"Floresta do Araguaia (PA)","2018","157","157","1313","1173","1269.43","32507","2.1","1969.84"
"Garrafão do Norte (PA)","2018","105","105","1413","1279","1574.01","38643","2.0","1888.50"
"Goianésia do Pará (PA)","2018","227","221","2775","2491","2662.26","69611","2.1","2011.34"
"Gurupá (PA)","2018","58","57","1848","1792","2014.20","51462","2.1","1965.36"
"Igarapé-Açu (PA)","2018","239","235","2132","1868","1849.01","41672","1.8","1733.63"
"Igarapé-Miri (PA)","2018","262","255","3951","3680","3612.56","94888","2.1","2020.47"
"Inhangapi (PA)","2018","33","33","919","887","855.20","17340","1.6","1559.72"
"Ipixuna do Pará (PA)","2018","120","116","3498","3365","3287.00","84075","2.1","1967.54"
"Irituia (PA)","2018","142","140","1758","1654","1477.28","33405","1.8","1739.40"
"Itaituba (PA)","2018","1550","1490","13238","11476","12003.81","342879","2.3","2197.24"
"Itupiranga (PA)","2018","262","257","2552","2316","2613.90","66347","2.0","1952.48"
