"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Glaucilândia (MG)","2018","31","31","306","281","305.16","5339","1.4","1345.78"
"Goiabeira (MG)","2018","70","69","423","354","397.86","7359","1.5","1422.77"
"Goianá (MG)","2018","151","149","610","481","503.79","11654","1.9","1779.45"
"Gonçalves (MG)","2018","136","134","696","546","546.91","12500","1.8","1758.10"
"Gonzaga (MG)","2018","62","62","294","212","418.22","8372","1.6","1539.81"
"Gouveia (MG)","2018","257","249","1997","1681","1672.49","31866","1.5","1465.60"
"Governador Valadares (MG)","2018","7534","7133","61681","51691","54776.77","1393538","2.1","1956.95"
"Grão Mogol (MG)","2018","224","215","1874","1649","1627.92","32804","1.6","1550.05"
"Grupiara (MG)","2018","34","34","322","293","356.78","6769","1.5","1459.36"
"Guanhães (MG)","2018","948","921","7238","5925","6130.26","145566","1.9","1826.57"
"Guapé (MG)","2018","310","304","1829","1388","1601.08","34710","1.7","1667.64"
"Guaraciaba (MG)","2018","127","127","1305","1145","965.04","17223","1.4","1372.86"
"Guaraciama (MG)","2018","90","89","455","356","381.41","7264","1.5","1465.10"
"Guaranésia (MG)","2018","462","448","4743","4181","4194.50","109626","2.1","2010.44"
"Guarani (MG)","2018","271","261","1453","1076","1241.85","23840","1.5","1476.70"
"Guarará (MG)","2018","79","79","599","502","536.47","10020","1.5","1436.71"
"Guarda-Mor (MG)","2018","179","178","989","776","866.88","24095","2.2","2138.09"
"Guaxupé (MG)","2018","2033","1971","14109","11841","11993.19","322695","2.2","2069.73"
"Guidoval (MG)","2018","211","209","1371","1129","1074.35","20774","1.6","1487.43"
"Guimarânia (MG)","2018","147","146","859","686","741.09","16894","1.8","1753.56"
"Guiricema (MG)","2018","229","224","1160","909","900.84","15558","1.4","1328.46"
"Gurinhatã (MG)","2018","101","98","552","441","474.71","11795","2.0","1911.23"
"Heliodora (MG)","2018","109","108","840","735","746.07","14101","1.5","1453.91"
"Iapu (MG)","2018","181","178","1021","806","817.68","16647","1.6","1566.07"
"Ibertioga (MG)","2018","86","85","635","543","538.36","10441","1.6","1491.90"
"Ibiá (MG)","2018","527","507","3696","3156","3297.56","87455","2.1","2040.09"
"Ibiaí (MG)","2018","76","75","539","454","498.53","8208","1.3","1266.57"
"Ibiracatu (MG)","2018","27","27","386","355","430.27","8456","1.6","1511.66"
"Ibiraci (MG)","2018","263","259","1508","1232","1333.57","40569","2.5","2340.12"
"Ibirité (MG)","2018","1628","1590","18964","16784","17077.80","468481","2.2","2110.17"
"Ibitiúra de Minas (MG)","2018","58","58","395","325","327.72","7309","1.8","1715.55"
"Ibituruna (MG)","2018","78","78","356","295","302.78","6549","1.7","1663.85"
"Icaraí de Minas (MG)","2018","88","88","504","426","474.95","9326","1.6","1510.51"
"Igarapé (MG)","2018","891","870","6822","5686","5955.46","143448","1.9","1852.83"
"Igaratinga (MG)","2018","373","358","3268","2737","2724.90","58940","1.7","1663.87"
"Iguatama (MG)","2018","170","168","1363","1126","1195.63","31380","2.1","2018.86"
"Ijaci (MG)","2018","228","227","1631","1308","1301.43","41652","2.6","2461.91"
"Ilicínea (MG)","2018","224","219","1804","1521","1612.09","29311","1.5","1398.63"
"Imbé de Minas (MG)","2018","50","50","484","432","454.54","8115","1.4","1373.32"
"Inconfidentes (MG)","2018","193","188","1063","864","922.70","17702","1.5","1475.78"
"Indaiabira (MG)","2018","67","66","552","481","526.60","9108","1.4","1330.50"
"Indianópolis (MG)","2018","82","82","855","767","805.30","27532","2.8","2629.91"
"Ingaí (MG)","2018","52","49","342","300","416.63","8136","1.6","1502.11"
"Inhapim (MG)","2018","574","568","3047","2339","2258.20","47695","1.7","1624.66"
"Inhaúma (MG)","2018","135","134","1157","958","918.28","20710","1.8","1734.81"
"Inimutaba (MG)","2018","101","99","767","678","730.94","12776","1.4","1344.57"
"Ipaba (MG)","2018","182","177","1717","1504","1549.07","28456","1.5","1413.03"
"Ipanema (MG)","2018","435","427","2741","2213","2201.91","44446","1.6","1552.70"
"Ipatinga (MG)","2018","7231","6879","73541","63648","63862.70","1881161","2.4","2265.87"
"Ipiaçu (MG)","2018","78","77","604","509","533.59","11851","1.8","1708.44"
"Ipuiúna (MG)","2018","294","289","1497","1155","1136.44","24355","1.7","1648.51"
"Iraí de Minas (MG)","2018","220","216","1176","921","944.45","23131","2.0","1883.99"
"Itabira (MG)","2018","2932","2814","29940","25756","26061.92","715391","2.2","2111.51"
"Itabirinha (MG)","2018","286","282","1310","1008","1063.71","20701","1.6","1497.04"
"Itabirito (MG)","2018","1760","1714","16104","14090","13562.69","433897","2.6","2460.92"
"Itacambira (MG)","2018","67","66","642","584","637.60","16234","2.1","1958.49"
"Itacarambi (MG)","2018","242","238","1996","1721","1864.17","40370","1.7","1665.85"
"Itaguara (MG)","2018","460","445","3287","2677","2675.64","59557","1.8","1712.23"
"Itaipé (MG)","2018","113","111","777","655","666.20","14211","1.7","1640.86"
"Itajubá (MG)","2018","3308","3189","27463","22831","23373.35","826224","2.9","2719.15"
"Itamarandiba (MG)","2018","831","803","5123","4273","4092.97","80352","1.6","1510.12"
"Itamarati de Minas (MG)","2018","98","98","570","496","517.01","10122","1.6","1506.01"
"Itambacuri (MG)","2018","291","284","2260","1925","2059.15","42054","1.6","1571.01"
"Itambé do Mato Dentro (MG)","2018","42","42","294","235","208.60","4644","1.8","1712.63"
"Itamogi (MG)","2018","250","248","1482","1223","1214.58","24555","1.6","1555.16"
"Itamonte (MG)","2018","389","377","3420","2894","2933.05","78553","2.2","2060.16"
"Itanhandu (MG)","2018","484","472","4227","3595","3694.12","84917","1.9","1768.24"
"Itanhomi (MG)","2018","268","265","1263","926","997.18","18865","1.5","1455.29"
"Itaobim (MG)","2018","391","378","2529","2070","2214.74","44380","1.6","1541.42"
"Itapagipe (MG)","2018","329","321","2707","2377","2505.19","73085","2.4","2244.11"
"Itapecerica (MG)","2018","427","414","4136","3580","3626.10","87891","2.0","1864.49"
"Itapeva (MG)","2018","362","359","2368","1918","1984.17","52780","2.1","2046.20"
"Itatiaiuçu (MG)","2018","278","272","3071","2728","2810.45","121119","3.5","3315.07"
"Itaú de Minas (MG)","2018","546","539","3409","2797","2850.27","91084","2.6","2458.16"
"Itaúna (MG)","2018","3612","3509","30086","24787","25148.08","732082","2.3","2239.30"
"Itaverava (MG)","2018","84","83","511","414","460.48","8993","1.6","1502.33"
"Itinga (MG)","2018","151","136","976","846","893.42","20810","1.9","1791.72"
"Itueta (MG)","2018","109","109","505","398","467.07","9275","1.6","1527.48"
"Ituiutaba (MG)","2018","2719","2627","22133","18709","19147.45","501367","2.1","2014.20"
"Itumirim (MG)","2018","80","77","478","394","395.39","9258","1.9","1801.07"
"Iturama (MG)","2018","1278","1251","10828","9187","9609.58","291484","2.4","2333.28"
"Itutinga (MG)","2018","82","80","534","431","449.12","9879","1.8","1692.02"
"Jaboticatubas (MG)","2018","402","396","2497","1986","2018.33","46119","1.8","1757.68"
"Jacinto (MG)","2018","149","146","853","695","745.26","15593","1.7","1609.43"
"Jacuí (MG)","2018","196","195","843","655","698.23","14842","1.7","1635.17"
"Jacutinga (MG)","2018","1120","1007","6985","5713","6153.76","133172","1.7","1664.67"
"Jaguaraçu (MG)","2018","50","50","666","614","607.88","12076","1.6","1528.13"
"Jaíba (MG)","2018","546","528","4581","3950","4401.68","94978","1.7","1659.82"
"Jampruca (MG)","2018","46","40","356","317","339.91","7655","1.8","1732.38"
"Janaúba (MG)","2018","1567","1511","12232","10372","10661.60","231195","1.7","1668.07"
"Januária (MG)","2018","1019","980","6094","4927","5158.32","116086","1.8","1731.12"
"Japaraíba (MG)","2018","114","106","780","691","677.03","13977","1.7","1588.10"
"Japonvar (MG)","2018","88","87","605","531","574.83","10164","1.4","1360.08"
"Jeceaba (MG)","2018","170","166","3856","3704","4059.07","245412","4.9","4650.78"
"Jenipapo de Minas (MG)","2018","257","257","2206","466","453.69","7972","1.4","1351.62"
"Jequeri (MG)","2018","170","167","1034","814","883.39","18416","1.7","1603.58"
"Jequitaí (MG)","2018","119","119","730","635","630.46","13183","1.7","1608.45"
"Jequitibá (MG)","2018","140","140","942","754","743.24","15102","1.6","1563.02"
"Jequitinhonha (MG)","2018","258","254","1885","1642","1734.47","38940","1.8","1726.96"
"Jesuânia (MG)","2018","56","56","457","392","398.38","7853","1.6","1516.30"
"Joaíma (MG)","2018","117","114","955","850","911.95","19554","1.7","1649.37"
"Joanésia (MG)","2018","47","46","394","343","330.19","6448","1.6","1502.06"
"João Monlevade (MG)","2018","2487","2416","21490","18197","18002.39","530057","2.4","2264.90"
"João Pinheiro (MG)","2018","1407","1344","13451","11595","11144.50","257013","1.9","1773.99"
"Joaquim Felício (MG)","2018","56","55","440","386","410.68","7843","1.5","1469.07"
"Jordânia (MG)","2018","143","142","697","587","633.42","11344","1.4","1377.68"
"José Gonçalves de Minas (MG)","2018","50","47","297","257","295.15","6226","1.7","1622.58"
"José Raydan (MG)","2018","45","45","494","462","457.83","7753","1.4","1302.69"
"Josenópolis (MG)","2018","40","39","521","482","423.86","10716","2.0","1944.71"
"Nova União (MG)","2018","111","109","757","601","575.95","11717","1.6","1564.92"
"Juatuba (MG)","2018","506","503","6733","6044","6295.22","208871","2.7","2552.26"
"Juiz de Fora (MG)","2018","20433","19221","170501","143132","141865.25","4424477","2.5","2399.07"
"Juramento (MG)","2018","53","53","396","349","360.09","6012","1.3","1284.30"
"Juruaia (MG)","2018","370","356","2592","2193","2249.95","39902","1.4","1364.21"
"Juvenília (MG)","2018","55","54","426","373","403.21","7254","1.5","1383.94"
"Ladainha (MG)","2018","87","84","851","759","780.55","16765","1.7","1652.17"
"Lagamar (MG)","2018","167","164","824","652","734.10","16753","1.8","1755.49"
"Lagoa da Prata (MG)","2018","1633","1572","13661","11269","11706.09","318341","2.2","2091.88"
"Lagoa dos Patos (MG)","2018","52","51","423","376","397.39","8011","1.6","1550.62"
"Lagoa Dourada (MG)","2018","238","234","1594","1248","1268.38","26085","1.7","1582.00"
"Lagoa Formosa (MG)","2018","361","358","3023","2589","2708.32","63659","1.9","1808.07"
"Lagoa Grande (MG)","2018","219","213","1547","1318","1480.96","40663","2.2","2112.07"
"Lagoa Santa (MG)","2018","1752","1699","17921","15621","15274.11","481089","2.5","2422.85"
"Lajinha (MG)","2018","371","366","2634","2182","2171.13","51366","1.9","1819.91"
"Lambari (MG)","2018","527","515","3220","2585","2579.11","57375","1.8","1711.24"
"Lamim (MG)","2018","79","79","351","280","298.91","5854","1.6","1506.45"
"Laranjal (MG)","2018","197","197","1049","743","765.49","16029","1.7","1610.78"
"Lassance (MG)","2018","97","95","1110","1004","1098.72","28370","2.1","1986.19"
"Lavras (MG)","2018","3461","3355","28961","24187","24392.66","786472","2.6","2480.17"
"Leandro Ferreira (MG)","2018","77","75","390","323","332.37","7953","1.9","1840.63"
"Leme do Prado (MG)","2018","82","81","460","386","418.26","8351","1.6","1535.93"
"Leopoldina (MG)","2018","1406","1355","11482","9557","9749.18","206540","1.7","1629.64"
"Liberdade (MG)","2018","144","142","633","483","483.48","10406","1.7","1655.56"
"Lima Duarte (MG)","2018","463","449","2676","2152","2243.90","41538","1.5","1423.96"
"Limeira do Oeste (MG)","2018","184","181","2371","2152","2268.28","75948","2.7","2575.60"
"Lontra (MG)","2018","102","100","596","524","566.79","10320","1.5","1400.60"
"Luisburgo (MG)","2018","80","80","504","430","428.94","8644","1.6","1550.08"
"Luislândia (MG)","2018","78","78","403","347","366.49","7477","1.6","1569.26"
"Luminárias (MG)","2018","119","116","737","616","674.50","12965","1.5","1478.53"
"Luz (MG)","2018","566","556","3794","2967","2945.95","70082","1.9","1829.95"
"Machacalis (MG)","2018","133","133","574","456","462.79","10446","1.8","1736.29"
"Machado (MG)","2018","1417","1377","9436","7533","7580.29","189420","2.0","1922.19"
"Madre de Deus de Minas (MG)","2018","129","126","814","674","642.06","13252","1.7","1587.67"
"Malacacheta (MG)","2018","266","261","1483","1238","1268.97","25786","1.6","1563.10"
"Mamonas (MG)","2018","88","88","482","407","386.88","7200","1.5","1431.57"
"Manga (MG)","2018","252","248","1723","1467","1568.06","30214","1.6","1482.19"
"Manhuaçu (MG)","2018","2650","2552","24821","21375","21134.11","498989","1.9","1816.20"
"Manhumirim (MG)","2018","567","549","3836","3126","3126.74","63938","1.6","1572.99"
"Mantena (MG)","2018","774","751","4709","3861","3944.15","77775","1.6","1516.84"
"Maravilhas (MG)","2018","221","219","1482","1178","1199.21","23191","1.6","1487.59"
"Mar de Espanha (MG)","2018","395","389","3465","2951","3130.27","44579","1.1","1095.48"
"Maria da Fé (MG)","2018","281","274","1612","1239","1266.81","30727","2.0","1865.80"
"Mariana (MG)","2018","1662","1623","16226","14174","14148.13","440506","2.5","2395.02"
"Marilac (MG)","2018","48","48","349","292","310.45","6345","1.6","1572.10"
"Mário Campos (MG)","2018","182","182","1406","1214","1264.00","25336","1.6","1541.90"
"Maripá de Minas (MG)","2018","88","85","757","659","718.37","12711","1.4","1361.04"
"Marliéria (MG)","2018","70","70","531","453","412.78","8949","1.7","1667.59"
"Marmelópolis (MG)","2018","48","48","325","277","273.62","5813","1.7","1634.11"
"Martinho Campos (MG)","2018","501","476","4185","3479","3451.88","76918","1.8","1714.07"
"Martins Soares (MG)","2018","112","111","664","545","580.11","13007","1.8","1724.74"
"Mata Verde (MG)","2018","69","69","477","411","428.07","8569","1.6","1539.90"
"Materlândia (MG)","2018","44","44","317","268","280.17","6007","1.7","1649.32"
"Mateus Leme (MG)","2018","695","669","6555","5516","5926.27","148095","2.0","1922.27"
"Matias Barbosa (MG)","2018","548","535","5387","4668","4641.31","135196","2.3","2240.67"
"Matias Cardoso (MG)","2018","51","48","751","695","829.08","15473","1.5","1435.58"
"Matipó (MG)","2018","277","271","2182","1884","2141.86","42866","1.6","1539.48"
"Mato Verde (MG)","2018","271","271","1271","971","1032.70","18217","1.4","1356.96"
"Matozinhos (MG)","2018","851","830","10751","9649","9557.65","259180","2.2","2085.96"
"Matutina (MG)","2018","80","78","530","427","435.24","8897","1.6","1572.47"
"Medeiros (MG)","2018","71","69","483","427","462.31","9266","1.6","1541.68"
"Medina (MG)","2018","334","327","1997","1667","1732.32","37816","1.8","1679.22"
"Mendes Pimentel (MG)","2018","105","102","600","484","474.56","8945","1.5","1449.88"
"Mercês (MG)","2018","179","174","1145","938","944.13","17990","1.5","1465.72"
"Mesquita (MG)","2018","55","55","500","442","453.65","7572","1.3","1283.95"
"Minas Novas (MG)","2018","420","402","2361","1969","2223.88","43245","1.6","1495.84"
"Minduri (MG)","2018","76","75","532","455","468.46","10287","1.8","1689.16"
"Mirabela (MG)","2018","193","187","1133","909","985.39","18751","1.5","1463.79"
"Miradouro (MG)","2018","274","271","1112","900","962.86","18726","1.6","1496.00"
"Miraí (MG)","2018","346","336","2581","2199","2228.55","48733","1.8","1682.11"
"Miravânia (MG)","2018","31","29","381","353","350.58","6995","1.6","1534.76"
"Moeda (MG)","2018","108","106","681","565","574.19","13535","1.9","1813.21"
"Moema (MG)","2018","254","251","1167","887","869.57","17742","1.6","1569.49"
"Monjolos (MG)","2018","48","47","316","283","277.72","7083","2.1","1961.84"
"Monsenhor Paulo (MG)","2018","197","196","1591","1357","1399.20","32044","1.8","1761.65"
"Montalvânia (MG)","2018","299","299","1398","1083","1082.37","20722","1.5","1472.72"
"Monte Alegre de Minas (MG)","2018","501","487","3011","2459","2585.23","59299","1.8","1764.42"
"Monte Azul (MG)","2018","423","420","1958","1480","1573.58","29193","1.5","1427.07"
"Monte Belo (MG)","2018","316","307","3729","3362","3531.34","86504","2.0","1884.31"
"Monte Carmelo (MG)","2018","1670","1617","9446","7388","7632.47","172680","1.8","1740.34"
"Monte Formoso (MG)","2018","28","27","260","238","265.79","4672","1.4","1352.24"
"Monte Santo de Minas (MG)","2018","661","650","3733","2915","2998.86","62978","1.7","1615.43"
"Montes Claros (MG)","2018","11538","10941","99403","84319","85741.82","2341785","2.2","2100.93"
"Monte Sião (MG)","2018","1453","1330","6157","4443","4836.44","103513","1.7","1646.37"
"Montezuma (MG)","2018","84","84","790","711","762.85","11672","1.2","1176.91"
"Morada Nova de Minas (MG)","2018","241","223","2216","1917","1952.75","40594","1.7","1599.07"
"Morro da Garça (MG)","2018","46","46","390","341","433.56","7676","1.4","1361.95"
"Morro do Pilar (MG)","2018","54","54","336","273","286.74","6065","1.7","1626.95"
"Munhoz (MG)","2018","104","101","724","614","637.06","13069","1.7","1578.01"
"Muriaé (MG)","2018","3941","3746","26741","22172","22671.05","538972","1.9","1828.74"
"Mutum (MG)","2018","464","456","2919","2386","2473.28","51340","1.7","1596.77"
"Muzambinho (MG)","2018","661","647","3950","3050","3180.16","74940","1.9","1812.68"
"Nacip Raydan (MG)","2018","34","34","236","207","235.33","4862","1.7","1589.12"
"Nanuque (MG)","2018","807","774","5835","4893","5079.04","114130","1.8","1728.53"
"Naque (MG)","2018","83","83","665","584","585.08","10986","1.5","1444.37"
"Natalândia (MG)","2018","93","93","446","349","350.94","7473","1.7","1638.11"
"Natércia (MG)","2018","105","101","576","452","449.72","9104","1.6","1557.28"
"Nazareno (MG)","2018","187","183","1469","1291","1337.97","45559","2.7","2619.29"
"Nepomuceno (MG)","2018","481","465","3466","2846","2903.29","62654","1.7","1660.02"
"Ninheira (MG)","2018","104","104","778","672","700.32","13784","1.6","1514.03"
"Nova Belém (MG)","2018","33","32","250","222","287.70","5076","1.4","1357.07"
"Nova Era (MG)","2018","411","405","4622","4090","4195.62","114220","2.2","2094.12"
"Nova Lima (MG)","2018","4615","4493","54525","47705","45928.39","2100184","3.7","3517.49"
"Nova Módica (MG)","2018","78","75","421","347","362.79","7648","1.7","1621.53"
"Nova Ponte (MG)","2018","529","522","3110","2548","2607.14","57935","1.8","1709.35"
"Nova Porteirinha (MG)","2018","87","83","889","802","860.65","18148","1.7","1622.00"
"Nova Resende (MG)","2018","363","361","1891","1421","1513.06","33671","1.8","1711.81"
"Nova Serrana (MG)","2018","2553","2495","29147","25635","28934.87","596173","1.7","1584.92"
"Novo Cruzeiro (MG)","2018","281","274","2066","1569","1803.64","35024","1.6","1493.75"
"Novo Oriente de Minas (MG)","2018","100","98","668","559","637.30","12993","1.6","1568.31"
"Novorizonte (MG)","2018","80","79","356","283","377.61","6648","1.4","1354.21"
"Olaria (MG)","2018","43","43","338","292","293.59","6088","1.7","1595.11"
"Olhos-d'Água (MG)","2018","154","147","1176","1037","990.20","17711","1.4","1375.85"
"Olímpio Noronha (MG)","2018","45","44","323","279","290.17","6891","1.9","1826.72"
"Oliveira (MG)","2018","1204","1150","9681","8174","8102.58","175222","1.7","1663.49"
"Oliveira Fortes (MG)","2018","50","50","277","220","219.03","4429","1.6","1555.36"
"Onça de Pitangui (MG)","2018","52","51","252","209","240.32","6638","2.2","2124.64"
"Oratórios (MG)","2018","72","72","477","396","404.39","8350","1.7","1588.35"
"Orizânia (MG)","2018","100","97","549","463","494.70","9779","1.6","1520.64"
"Ouro Branco (MG)","2018","1525","1490","13686","11769","11658.45","557391","3.9","3677.69"
"Ouro Fino (MG)","2018","1187","1144","6585","5140","5313.02","124198","1.9","1798.17"
"Ouro Preto (MG)","2018","1955","1882","19420","16951","17012.70","671278","3.2","3035.19"
"Ouro Verde de Minas (MG)","2018","80","79","440","363","355.47","7616","1.7","1648.17"
"Padre Carvalho (MG)","2018","79","75","581","508","627.17","10698","1.4","1312.15"
"Padre Paraíso (MG)","2018","247","240","1725","1462","1436.09","27356","1.5","1465.28"
"Paineiras (MG)","2018","120","117","569","463","468.83","9465","1.6","1552.90"
"Pains (MG)","2018","261","258","2616","2249","2201.19","61347","2.2","2143.84"
"Pai Pedro (MG)","2018","92","92","467","376","415.85","7461","1.4","1380.12"
"Paiva (MG)","2018","46","44","268","216","212.97","4343","1.6","1568.51"
"Palma (MG)","2018","163","161","734","568","613.18","10641","1.4","1334.91"
"Palmópolis (MG)","2018","42","41","408","365","365.74","6822","1.5","1434.91"
"Papagaios (MG)","2018","443","416","3413","2848","2848.82","55030","1.6","1485.90"
"Paracatu (MG)","2018","2437","2368","23412","20222","21058.41","702058","2.7","2564.51"
"Pará de Minas (MG)","2018","3136","3005","29787","25636","24928.05","616540","2.0","1902.52"
"Paraguaçu (MG)","2018","668","647","4681","3945","4085.51","80716","1.6","1519.74"
"Paraisópolis (MG)","2018","429","421","4601","4050","4256.91","108222","2.0","1955.59"
"Paraopeba (MG)","2018","662","654","7633","6827","5434.12","128194","1.9","1814.66"
"Passabém (MG)","2018","25","25","242","216","208.88","4112","1.6","1514.25"
"Passa Quatro (MG)","2018","422","405","3430","2882","2933.11","68239","1.9","1789.62"
"Passa Tempo (MG)","2018","174","169","1469","1283","1229.17","30249","2.0","1892.99"
"Passa Vinte (MG)","2018","41","41","298","255","288.28","5805","1.6","1548.90"
"Passos (MG)","2018","3445","3339","27019","22806","23179.32","548016","1.9","1818.65"
"Patis (MG)","2018","39","38","390","356","383.94","7584","1.6","1519.39"
"Patos de Minas (MG)","2018","5923","5731","46662","38146","38544.08","1073593","2.2","2142.59"
"Patrocínio (MG)","2018","2961","2869","21714","17976","18405.68","467491","2.0","1953.79"
"Patrocínio do Muriaé (MG)","2018","109","108","820","715","780.45","15862","1.6","1563.37"
"Paula Cândido (MG)","2018","140","139","696","567","604.90","11337","1.5","1441.65"
"Paulistas (MG)","2018","63","62","417","358","389.42","7971","1.7","1574.57"
"Pavão (MG)","2018","99","98","560","470","488.83","10358","1.7","1629.98"
"Peçanha (MG)","2018","272","267","1576","1244","1232.54","23531","1.5","1468.59"
"Pedra Azul (MG)","2018","308","290","2324","2050","2175.90","48469","1.8","1713.48"
"Pedra Bonita (MG)","2018","76","75","339","277","388.20","7353","1.5","1456.96"
"Pedra do Anta (MG)","2018","55","55","358","295","299.54","6463","1.7","1659.65"
"Pedra do Indaiá (MG)","2018","106","105","1177","1059","1088.17","23081","1.7","1631.59"
"Pedra Dourada (MG)","2018","39","39","331","291","299.13","6139","1.7","1578.75"
"Pedralva (MG)","2018","245","244","1162","860","854.49","18906","1.8","1701.94"
"Pedras de Maria da Cruz (MG)","2018","137","136","643","520","569.29","12353","1.7","1669.14"
"Pedrinópolis (MG)","2018","100","100","609","486","522.96","12596","1.9","1852.74"
"Pedro Leopoldo (MG)","2018","1643","1586","15810","13718","13852.28","391778","2.3","2175.58"
"Pedro Teixeira (MG)","2018","22","22","260","239","240.03","4703","1.6","1507.19"
"Pequeri (MG)","2018","106","99","675","551","616.52","11681","1.5","1457.48"
"Pequi (MG)","2018","99","97","538","431","403.64","13270","2.7","2528.92"
"Perdigão (MG)","2018","341","339","2836","2426","2621.78","53850","1.7","1579.96"
"Perdizes (MG)","2018","337","329","3182","2766","2637.47","69623","2.1","2030.58"
"Perdões (MG)","2018","685","673","4867","3962","3923.87","92045","1.9","1804.44"
"Periquito (MG)","2018","74","71","693","614","716.78","12203","1.4","1309.55"
"Pescador (MG)","2018","52","51","352","301","316.89","6623","1.7","1607.72"
"Piau (MG)","2018","44","44","303","264","259.25","5362","1.7","1590.86"
"Piedade de Caratinga (MG)","2018","134","133","655","505","577.96","11021","1.5","1466.82"
"Piedade de Ponte Nova (MG)","2018","55","55","470","390","428.74","8521","1.6","1528.77"
"Piedade do Rio Grande (MG)","2018","121","121","507","385","381.14","8070","1.7","1628.81"
"Piedade dos Gerais (MG)","2018","111","110","470","358","374.42","7421","1.6","1524.68"
"Pimenta (MG)","2018","187","186","1689","1478","1671.49","36634","1.8","1685.91"
"Pingo d'Água (MG)","2018","76","76","611","537","556.90","8648","1.3","1194.49"
"Pintópolis (MG)","2018","75","75","505","436","470.03","8474","1.5","1386.87"
"Piracema (MG)","2018","137","134","728","547","578.46","12714","1.8","1690.70"
"Pirajuba (MG)","2018","138","135","2125","2005","2117.47","82470","3.1","2995.97"
"Piranga (MG)","2018","234","230","1277","998","1018.24","22607","1.8","1707.83"
"Piranguçu (MG)","2018","83","82","536","439","458.47","10813","1.9","1814.29"
"Piranguinho (MG)","2018","203","199","1092","854","869.47","18222","1.7","1612.16"
"Pirapetinga (MG)","2018","259","256","2413","2107","2177.18","53650","2.0","1895.53"
"Pirapora (MG)","2018","1507","1444","14730","12912","12780.13","321706","2.0","1936.34"
"Piraúba (MG)","2018","357","355","2156","1743","1796.03","31638","1.4","1355.03"
"Pitangui (MG)","2018","883","863","5317","4196","4249.89","88971","1.7","1610.37"
"Piumhi (MG)","2018","1200","1168","7846","6365","6493.93","139151","1.7","1648.29"
"Planura (MG)","2018","215","209","1284","1057","1076.96","27381","2.1","1955.70"
"Poço Fundo (MG)","2018","424","413","2245","1684","1674.61","34615","1.7","1590.04"
"Poços de Caldas (MG)","2018","6278","5929","55583","47123","46833.37","1421932","2.4","2335.50"
"Pocrane (MG)","2018","99","96","601","510","517.83","10824","1.7","1607.89"
"Pompéu (MG)","2018","946","894","5999","4811","4824.72","122821","2.1","1958.21"
"Ponte Nova (MG)","2018","1901","1838","17796","15023","14927.70","345356","1.9","1779.64"
"Ponto Chique (MG)","2018","45","43","434","390","392.35","6580","1.4","1290.02"
"Ponto dos Volantes (MG)","2018","88","85","828","752","740.97","12624","1.4","1310.54"
"Porteirinha (MG)","2018","602","591","3303","2583","2627.84","57140","1.8","1672.63"
"Porto Firme (MG)","2018","155","152","766","561","605.21","11671","1.6","1483.43"
"Poté (MG)","2018","177","175","1095","925","936.47","20783","1.8","1707.17"
"Pouso Alegre (MG)","2018","5736","5493","55335","47445","46088.67","1466474","2.6","2447.58"
"Pouso Alto (MG)","2018","155","149","1325","1138","1109.89","25892","1.9","1794.47"
"Prados (MG)","2018","214","210","1590","1334","1451.80","24730","1.4","1310.31"
"Prata (MG)","2018","808","785","5847","4924","5042.26","127714","2.0","1948.37"
"Pratápolis (MG)","2018","260","258","1282","977","1147.36","23593","1.7","1581.74"
"Pratinha (MG)","2018","49","49","439","392","402.78","10118","2.0","1932.31"
"Presidente Bernardes (MG)","2018","76","75","528","438","429.05","7662","1.4","1373.71"
"Presidente Juscelino (MG)","2018","47","47","416","368","369.08","7209","1.6","1502.40"
"Presidente Kubitschek (MG)","2018","49","48","359","326","329.79","6142","1.5","1432.67"
"Presidente Olegário (MG)","2018","320","317","2198","1741","1865.00","48177","2.1","1987.10"
"Alto Jequitibá (MG)","2018","179","176","798","628","631.15","12953","1.7","1578.74"
"Prudente de Morais (MG)","2018","201","200","1357","1134","1206.60","25669","1.7","1636.47"
"Quartel Geral (MG)","2018","54","53","386","340","369.31","7160","1.6","1491.45"
"Queluzito (MG)","2018","35","34","303","252","260.28","5836","1.8","1724.70"
"Raposos (MG)","2018","156","153","1003","814","961.17","20237","1.7","1619.62"
"Raul Soares (MG)","2018","544","533","2892","2255","2296.37","51412","1.8","1722.19"
"Recreio (MG)","2018","190","188","1165","946","947.55","16167","1.4","1312.44"
"Reduto (MG)","2018","98","98","712","591","607.70","12094","1.6","1530.88"
"Resende Costa (MG)","2018","391","377","1585","1133","1137.26","23312","1.7","1576.77"
"Resplendor (MG)","2018","376","369","2226","1808","1875.81","37754","1.6","1548.23"
"Ressaquinha (MG)","2018","84","81","616","522","540.50","11949","1.8","1700.49"
"Riachinho (MG)","2018","76","76","501","435","455.33","10210","1.8","1724.91"
